date,open,high,low,close,volume,dividend,split
2012-11-01,25.29,26.59,25.29,25.59,5158700,0.0,1.0
2012-11-02,25.74,25.925,25.06,25.07,4101700,0.0,1.0
2012-11-05,25.01,25.26,24.83,25.18,2314700,0.0,1.0
2012-11-06,25.36,25.385,25.0,25.19,3045700,0.0,1.0
2012-11-07,24.84,24.88,23.96,24.1,5468500,0.0,1.0
2012-11-08,23.94,24.23,23.81,23.89,4649700,0.0,1.0
2012-11-09,23.71,24.1501,23.64,23.86,3229600,0.0,1.0
2012-11-12,23.91,23.95,23.6,23.79,2712100,0.0,1.0
2012-11-13,23.59,24.46,23.54,23.99,1941400,0.0,1.0
2012-11-14,24.05,24.19,23.17,23.2,4074500,0.0,1.0
2012-11-15,23.18,23.48,23.11,23.14,2541600,0.0,1.0
2012-11-16,23.17,23.36,22.88,23.12,3603900,0.0,1.0
2012-11-19,23.46,23.6,23.29,23.57,2187600,0.0,1.0
2012-11-20,23.45,23.68,23.33,23.56,1721900,0.0,1.0
2012-11-21,23.53,23.7498,23.48,23.59,1247200,0.0,1.0
2012-11-23,23.68,23.82,23.57,23.78,491300,0.0,1.0
2012-11-26,23.6,23.94,23.6,23.81,1418100,0.0,1.0
2012-11-27,23.8,24.07,23.7,23.7,2018400,0.0,1.0
2012-11-28,23.5,23.88,23.35,23.84,1979100,0.0,1.0
2012-11-29,23.98,24.12,23.73,23.91,1319400,0.0,1.0
2012-11-30,23.88,23.95,23.42,23.49,3377600,0.0,1.0
2012-12-03,23.62,23.7,23.07,23.08,2283700,0.0,1.0
2012-12-04,23.08,23.22,22.91,23.02,2471300,0.0,1.0
2012-12-05,23.12,23.46,22.835,23.17,5018600,0.0,1.0
2012-12-06,23.16,23.65,23.02,23.65,2260600,0.0,1.0
2012-12-07,23.72,23.95,23.55,23.79,2239600,0.0,1.0
2012-12-10,23.75,24.22,23.74,24.19,2200300,0.0,1.0
2012-12-11,24.33,24.55,24.18,24.22,1900300,0.0,1.0
2012-12-12,24.23,24.485,23.98,24.0,2309700,0.02,1.0
2012-12-13,23.93,24.22,23.86,24.04,2724800,0.0,1.0
2012-12-14,24.0,24.38,23.98,24.26,3107400,0.0,1.0
2012-12-17,24.32,24.55,24.28,24.35,5319300,0.0,1.0
2012-12-18,24.37,24.72,24.33,24.68,2921600,0.0,1.0
2012-12-19,24.67,24.855,24.58,24.62,2545100,0.0,1.0
2012-12-20,24.57,24.77,24.54,24.71,2340700,0.0,1.0
2012-12-21,24.19,24.62,24.16,24.48,3081600,0.0,1.0
2012-12-24,24.41,24.48,24.32,24.41,671900,0.0,1.0
2012-12-26,24.43,24.43,24.01,24.17,2026900,0.0,1.0
2012-12-27,24.14,24.39,23.88,24.3,2404600,0.0,1.0
2012-12-28,24.03,24.259,23.9,24.12,1714300,0.0,1.0
2012-12-31,24.01,24.82,23.94,24.79,2377600,0.0,1.0
2013-01-02,25.33,25.48,25.12,25.48,3282200,0.0,1.0
2013-01-03,25.47,25.95,25.35,25.69,4971500,0.0,1.0
2013-01-04,26.02,26.53,26.01,26.23,5109800,0.0,1.0
2013-01-07,26.42,26.54,26.06,26.4,2866200,0.0,1.0
2013-01-08,26.27,26.41,26.17,26.36,2770500,0.0,1.0
2013-01-09,26.47,26.6,26.27,26.37,2071800,0.0,1.0
2013-01-10,26.5,26.61,26.25,26.61,3028000,0.0,1.0
2013-01-11,26.52,26.65,26.2875,26.41,2001500,0.0,1.0
2013-01-14,26.4,26.5,26.16,26.45,1973700,0.0,1.0
2013-01-15,26.2,26.47,26.15,26.41,2424000,0.0,1.0
2013-01-16,26.21,26.39,26.075,26.29,2124300,0.0,1.0
2013-01-17,26.42,27.195,26.4,27.09,3749100,0.0,1.0
2013-01-18,27.17,27.22,26.69,27.22,2379300,0.0,1.0
2013-01-22,27.2,27.2181,26.69,27.08,3389500,0.0,1.0
