date,open,high,low,close,volume,dividend,split
2012-11-01,55.86,57.09,55.86,56.95,4833700,0.0,1.0
2012-11-02,57.02,57.24,55.99,56.05,4948200,0.0,1.0
2012-11-05,56.26,56.4,54.83,55.28,6149600,0.0,1.0
2012-11-06,55.28,56.49,54.65,56.39,4880800,0.0,1.0
2012-11-07,55.38,55.4,53.39,54.26,13812600,0.0,1.0
2012-11-08,54.35,54.98,53.42,53.44,8846100,0.0,1.0
2012-11-09,53.36,54.0,52.64,52.9,8585800,0.0,1.0
2012-11-12,53.04,53.51,52.05,52.2,5944000,0.0,1.0
2012-11-13,52.04,52.98,52.0,52.19,5669900,0.0,1.0
2012-11-14,52.39,52.43,51.095,51.25,5792500,0.0,1.0
2012-11-15,51.27,51.72,51.09,51.25,6668600,0.0,1.0
2012-11-16,51.25,52.19,51.14,51.9,6388000,0.0,1.0
2012-11-19,52.23,52.91,51.85,52.91,5868900,0.0,1.0
2012-11-20,52.92,53.18,52.66,53.14,4737800,0.0,1.0
2012-11-21,53.2,53.7,52.82,53.53,5097000,0.0,1.0
2012-11-23,53.67,53.93,53.5,53.92,1709300,0.0,1.0
2012-11-26,52.99,53.61,52.76,53.53,5692900,0.0,1.0
2012-11-27,53.13,53.83,52.55,52.59,7859400,0.0,1.0
2012-11-28,52.27,53.235,52.24,52.75,5744200,0.0,1.0
2012-11-29,53.26,54.59,53.0,54.36,10911600,0.0,1.0
2012-11-30,54.18,54.88,54.07,54.39,7818600,0.0,1.0
2012-12-03,54.56,54.95,53.825,53.89,3861300,0.0,1.0
2012-12-04,53.96,54.24,53.52,53.54,5948900,0.0,1.0
2012-12-05,53.73,54.23,53.61,53.84,4495100,0.0,1.0
2012-12-06,53.9,53.9,53.28,53.65,3771900,0.0,1.0
2012-12-07,53.8,53.9,53.39,53.87,4206200,0.2125,1.0
2012-12-10,53.87,54.33,53.74,54.19,4113500,0.0,1.0
2012-12-11,54.25,54.98,54.08,54.76,4970400,0.0,1.0
2012-12-12,55.0,55.82,54.9,55.25,7054000,0.0,1.0
2012-12-13,55.22,55.39,54.31,54.38,4911800,0.0,1.0
2012-12-14,54.17,54.53,53.92,54.05,3468700,0.0,1.0
2012-12-17,54.08,54.55,53.98,54.36,6336900,0.0,1.0
2012-12-18,54.62,55.34,54.47,54.95,4637800,0.0,1.0
2012-12-19,55.12,55.12,54.43,54.49,5537600,0.0,1.0
2012-12-20,54.48,55.51,54.45,55.46,5025900,0.0,1.0
2012-12-21,55.38,55.52,54.43,55.03,9440100,0.0,1.0
2012-12-24,54.8,55.05,54.53,54.85,1713900,0.0,1.0
2012-12-26,54.8,54.85,54.1201,54.22,3232400,0.0,1.0
2012-12-27,54.12,54.59,53.95,54.44,3245700,0.0,1.0
2012-12-28,54.09,54.64,53.8,53.86,3137400,0.0,1.0
2012-12-31,53.63,54.26,53.49,54.24,4948700,0.0,1.0
2013-01-02,54.88,55.0,54.01,54.54,5358100,0.0,1.0
2013-01-03,53.44,53.52,51.85,51.99,14413200,0.0,1.0
2013-01-04,52.2,52.73,52.06,52.09,10458000,0.0,1.0
2013-01-07,51.884,52.33,51.55,52.09,7804500,0.0,1.0
2013-01-08,52.0,52.245,51.36,51.4,8196200,0.0,1.0
2013-01-09,51.59,52.5,51.5,52.37,5154300,0.0,1.0
2013-01-10,52.52,53.19,52.33,53.11,6506500,0.0,1.0
2013-01-11,53.4,53.4,52.33,52.82,10182500,0.0,1.0
2013-01-14,52.87,54.42,52.6,53.36,7119900,0.0,1.0
2013-01-15,53.22,53.85,53.21,53.62,5802900,0.0,1.0
2013-01-16,53.64,53.8,53.335,53.66,6474500,0.0,1.0
2013-01-17,53.76,54.53,53.17,54.4,14438900,0.0,1.0
2013-01-18,54.4,54.63,54.22,54.56,7023900,0.0,1.0
2013-01-22,54.65,56.09,54.56,56.02,9330000,0.0,1.0
2013-01-23,56.11,56.25,55.45,55.91,6665700,0.0,1.0
2013-01-24,56.03,56.44,55.9,56.22,4221700,0.0,1.0
2013-01-25,56.36,56.38,55.72,56.04,5604700,0.0,1.0
2013-01-28,56.42,56.53,55.8,55.81,5736900,0.0,1.0
2013-01-29,55.75,56.69,55.68,56.28,7317600,0.0,1.0
2013-01-30,56.25,56.44,55.92,56.08,6269200,0.0,1.0
2013-01-31,55.84,56.045,55.21,55.21,6957500,0.0,1.0
2013-02-01,55.74,55.84,55.37,55.77,6369500,0.0,1.0
2013-02-04,55.32,56.37,55.32,55.75,4795700,0.0,1.0
2013-02-05,57.07,57.83,56.83,57.77,8645500,0.0,1.0
2013-02-06,57.44,57.54,57.1,57.38,5266100,0.0,1.0
2013-02-07,57.36,57.5,56.65,57.05,6050700,0.0,1.0
2013-02-08,57.16,58.255,57.12,57.74,4554600,0.0,1.0
2013-02-11,57.56,57.71,57.05,57.12,4166800,0.0,1.0
2013-02-12,57.2,57.38,56.93,57.01,4448600,0.0,1.0
2013-02-13,57.01,57.37,56.75,57.23,4261200,0.0,1.0
2013-02-14,57.01,57.215,56.75,57.05,5173800,0.0,1.0
2013-02-15,57.06,57.495,57.04,57.32,5750400,0.0,1.0
2013-02-19,54.2,56.88,54.04,56.66,14566200,0.0,1.0
2013-02-20,56.51,56.58,55.19,55.21,7542900,0.0,1.0
2013-02-21,55.57,55.94,54.88,55.24,6357300,0.0,1.0
2013-02-22,55.4,55.41,54.25,54.47,8400700,0.0,1.0
2013-02-25,54.69,54.75,53.29,53.3,6807800,0.0,1.0
2013-02-26,53.51,53.595,52.51,53.05,6325100,0.0,1.0
2013-02-27,52.96,54.01,52.93,53.87,5133800,0.0,1.0
2013-02-28,53.82,53.96,53.39,53.45,5879800,0.0,1.0
2013-03-01,53.34,53.795,52.88,53.52,6972100,0.0,1.0
2013-03-04,53.31,53.5,53.13,53.32,4783000,0.0,1.0
2013-03-05,53.43,53.84,53.18,53.5,4911700,0.0,1.0
2013-03-06,53.56,53.94,53.35,53.61,5562600,0.0,1.0
2013-03-07,53.76,54.18,53.685,53.8,4455700,0.0,1.0
2013-03-08,53.97,54.25,53.52,53.81,4584400,0.0,1.0
2013-03-11,53.83,54.64,53.75,54.21,4008700,0.0,1.0
2013-03-12,54.17,55.0,54.08,54.83,5466300,0.0,1.0
2013-03-13,54.68,54.88,54.35,54.48,4343000,0.2125,1.0
2013-03-14,54.58,54.81,54.06,54.73,5066800,0.0,1.0
2013-03-15,54.63,54.9,54.42,54.73,7888300,0.0,1.0
2013-03-18,54.3,55.47,54.28,55.0,5974200,0.0,1.0
2013-03-19,55.0,55.4,54.92,55.17,5486600,0.0,1.0
2013-03-20,55.47,55.53,54.81,54.88,4528800,0.0,1.0
2013-03-21,54.69,55.35,54.634,55.06,4953700,0.0,1.0
2013-03-22,55.14,55.3,54.23,54.46,5415900,0.0,1.0
2013-03-25,54.65,55.115,54.44,54.86,5142500,0.0,1.0
2013-03-26,55.14,55.78,55.09,55.65,6059700,0.0,1.0
2013-03-27,55.55,57.03,55.44,56.62,8525800,0.0,1.0
2013-03-28,56.66,57.31,56.49,57.21,5685400,0.0,1.0
2013-04-01,57.16,59.36,57.0101,58.97,9006100,0.0,1.0
2013-04-02,61.63,63.95,61.5,61.74,22664600,0.0,1.0
2013-04-03,62.41,62.75,61.62,61.67,10140400,0.0,1.0
2013-04-04,61.75,62.5,61.49,62.03,7648400,0.0,1.0
2013-04-05,61.92,62.56,61.65,62.1,6841300,0.0,1.0
2013-04-08,62.07,62.37,61.295,61.89,4545600,0.0,1.0
2013-04-09,62.09,62.57,61.95,62.18,4405900,0.0,1.0
2013-04-10,62.32,62.6,62.0923,62.41,4400600,0.0,1.0
2013-04-11,62.39,63.0,62.33,62.98,4738900,0.0,1.0
2013-04-12,62.83,63.28,62.62,63.03,4162000,0.0,1.0
2013-04-15,62.72,63.0,61.58,61.59,4625600,0.0,1.0
2013-04-16,62.18,63.0,61.77,62.81,4976400,0.0,1.0
2013-04-17,62.39,63.15,61.96,62.03,8429000,0.0,1.0
2013-04-18,59.39,60.75,58.03,59.69,14015000,0.0,1.0
2013-04-19,59.94,60.7499,59.47,60.04,6524600,0.0,1.0
2013-04-22,59.99,60.1,58.64,59.22,6020900,0.0,1.0
2013-04-23,59.47,59.66,58.12,58.54,6277700,0.0,1.0
2013-04-24,58.9,59.25,58.72,58.79,5883000,0.0,1.0
2013-04-25,59.13,59.41,58.61,59.34,5669100,0.0,1.0
2013-04-26,59.26,60.1499,59.13,59.48,5798100,0.0,1.0
2013-04-29,59.95,60.49,59.81,60.01,4861600,0.0,1.0
2013-04-30,60.14,60.38,59.21,59.93,5701800,0.0,1.0
2013-05-01,59.96,60.44,59.3,59.72,4897800,0.0,1.0
2013-05-02,59.71,60.38,59.39,59.48,6072500,0.0,1.0
2013-05-03,59.79,60.03,58.87,58.92,5149500,0.0,1.0
2013-05-06,59.38,60.73,59.32,60.2,5609600,0.0,1.0
2013-05-07,60.08,61.13,59.93,60.5,4830700,0.0,1.0
2013-05-08,60.32,62.77,60.31,62.51,10032800,0.0,1.0
2013-05-09,62.25,62.56,61.4599,62.01,6416700,0.0,1.0
2013-05-10,62.04,62.99,61.81,62.91,5015700,0.0,1.0
2013-05-13,62.67,62.8,62.26,62.39,3490400,0.0,1.0
