date,open,high,low,close,volume,dividend,split
2012-11-01,123.32,126.35,123.195,125.97,3071600,0.0,1.0
2012-11-02,126.19,126.92,123.975,123.98,1716600,0.0,1.0
2012-11-05,123.2,124.6,123.0,123.74,1153300,0.0,1.0
2012-11-06,124.06,125.5,123.56,124.76,1604400,0.0,1.0
2012-11-07,123.36,124.41,121.31,122.14,1925800,0.0,1.0
2012-11-08,121.87,122.49,120.8,121.03,1987200,0.0,1.0
2012-11-09,120.76,121.77,120.0,120.25,1394100,0.0,1.0
2012-11-12,120.54,122.19,120.39,121.77,1347700,0.0,1.0
2012-11-13,120.69,122.58,120.6,121.32,1152600,0.0,1.0
2012-11-14,121.5,121.96,117.17,117.46,2905800,0.0,1.0
2012-11-15,117.84,118.51,116.52,117.9922,2010000,0.0,1.0
2012-11-16,118.05,118.62,116.06,117.56,2487300,0.0,1.0
2012-11-19,118.61,119.72,118.19,119.71,2103000,0.0,1.0
2012-11-20,119.6,120.41,118.5,120.03,1529900,0.0,1.0
2012-11-21,120.45,120.73,119.54,120.04,1216100,0.0,1.0
2012-11-23,120.0,122.0,120.0,121.98,795300,0.0,1.0
2012-11-26,121.49,122.21,121.0775,121.87,1335500,0.0,1.0
2012-11-27,121.25,123.34,120.79,122.25,1397300,0.0,1.0
2012-11-28,120.82,122.82,119.97,122.79,1475600,0.69,1.0
2012-11-29,123.38,123.67,122.09,123.16,1883100,0.0,1.0
2012-11-30,122.96,123.1399,121.92,122.78,2110900,0.0,1.0
2012-12-03,123.68,124.05,121.24,121.43,1934600,0.0,1.0
2012-12-04,121.63,122.78,121.31,122.37,1331500,0.0,1.0
2012-12-05,122.57,123.58,121.31,122.86,2089700,0.0,1.0
2012-12-06,122.78,124.15,122.13,123.1308,940700,0.0,1.0
2012-12-07,123.68,124.0,122.84,123.95,1199600,0.0,1.0
2012-12-10,124.03,125.41,123.84,125.23,1515500,0.0,1.0
2012-12-11,125.4,125.58,123.51,123.59,1877900,0.0,1.0
2012-12-12,124.36,126.2,123.77,124.7,1867100,0.0,1.0
2012-12-13,124.81,125.715,124.16,124.69,1646000,0.0,1.0
2012-12-14,123.62,125.4699,123.62,124.2746,1844800,0.0,1.0
2012-12-17,124.9,125.88,124.16,125.69,2408000,0.0,1.0
2012-12-18,125.51,127.41,125.07,127.16,2748800,0.0,1.0
2012-12-19,127.55,127.55,125.75,125.77,1346800,0.0,1.0
2012-12-20,125.75,126.15,125.0702,126.12,1488000,0.0,1.0
2012-12-21,124.86,126.16,124.29,125.68,2689300,0.0,1.0
2012-12-24,125.4,125.58,124.85,125.5,571400,0.0,1.0
2012-12-26,125.61,125.69,124.39,124.71,909700,0.0,1.0
2012-12-27,124.59,125.01,123.31,124.62,1287600,0.0,1.0
2012-12-28,124.03,125.24,123.48,123.54,962400,0.0,1.0
2012-12-31,123.25,125.82,123.0101,125.72,1511000,0.0,1.0
2013-01-02,128.24,129.33,127.315,128.46,2286400,0.0,1.0
2013-01-03,128.25,130.35,128.09,128.64,1823600,0.0,1.0
2013-01-04,128.84,130.98,128.3,130.89,1497400,0.0,1.0
2013-01-07,130.4,130.49,129.16,130.27,1233600,0.0,1.0
2013-01-08,130.09,130.4,129.0021,130.18,1180200,0.0,1.0
2013-01-09,130.59,131.78,130.28,130.89,1094100,0.0,1.0
2013-01-10,131.1,131.75,129.93,131.09,1626300,0.0,1.0
2013-01-11,131.45,132.09,130.68,130.97,1529100,0.0,1.0
2013-01-14,131.02,132.0,130.98,131.34,832400,0.0,1.0
2013-01-15,130.98,131.65,130.41,131.44,829600,0.0,1.0
2013-01-16,130.97,131.81,130.65,131.36,1015300,0.0,1.0
2013-01-17,132.2,132.275,131.17,131.67,1567700,0.0,1.0
2013-01-18,132.08,132.52,130.8001,132.49,2020600,0.0,1.0
2013-01-22,132.46,133.82,132.38,133.72,2416700,0.0,1.0
2013-01-23,133.52,136.19,133.52,135.35,3647700,0.0,1.0
2013-01-24,134.45,135.5,132.13,133.84,4120300,0.0,1.0
2013-01-25,134.53,135.42,133.26,134.77,2500200,0.0,1.0
2013-01-28,135.2,135.2,132.33,132.87,2111500,0.0,1.0
2013-01-29,132.79,134.98,132.7,134.76,2538600,0.0,1.0
2013-01-30,133.97,133.97,130.5,131.17,3509500,0.0,1.0
2013-01-31,131.26,132.435,130.92,131.46,1896100,0.0,1.0
2013-02-01,132.84,134.14,132.38,133.96,2290100,0.0,1.0
2013-02-04,132.75,133.48,131.77,131.99,2008100,0.0,1.0
2013-02-05,132.5,133.55,132.11,133.14,1679800,0.0,1.0
2013-02-06,132.35,133.35,132.35,133.24,1959400,0.0,1.0
2013-02-07,133.03,133.33,131.51,132.0,2016300,0.0,1.0
2013-02-08,132.38,133.16,132.2,133.15,1719900,0.0,1.0
2013-02-11,133.06,134.26,132.92,133.42,1281200,0.0,1.0
2013-02-12,133.48,134.85,133.26,134.67,1388700,0.0,1.0
2013-02-13,134.92,135.79,134.81,135.29,2295900,0.0,1.0
2013-02-14,134.61,136.18,134.5,136.17,1884600,0.0,1.0
2013-02-15,136.29,137.03,136.25,136.83,2863800,0.0,1.0
2013-02-19,137.32,137.63,136.12,137.53,2178300,0.0,1.0
2013-02-20,137.76,138.0,134.68,134.72,3514200,0.0,1.0
2013-02-21,134.36,134.85,133.881,134.25,2405500,0.0,1.0
2013-02-22,134.53,136.28,134.01,136.02,1497500,0.0,1.0
2013-02-25,136.6,137.6,133.15,133.18,2115800,0.0,1.0
2013-02-26,133.7,134.48,132.79,133.94,1840800,0.69,1.0
2013-02-27,133.95,137.26,133.45,136.71,2300700,0.0,1.0
2013-02-28,137.15,138.51,136.44,137.11,2789900,0.0,1.0
2013-03-01,136.41,137.55,135.501,136.57,1529400,0.0,1.0
2013-03-04,136.27,138.54,136.08,138.35,1591300,0.0,1.0
2013-03-05,139.11,139.76,138.22,139.08,1665400,0.0,1.0
2013-03-06,140.0,140.84,138.37,138.96,1483300,0.0,1.0
2013-03-07,138.89,139.23,136.25,137.02,1891200,0.0,1.0
2013-03-08,137.65,139.13,137.0,138.7,1333000,0.0,1.0
2013-03-11,138.77,139.99,138.73,139.69,1277100,0.0,1.0
2013-03-12,140.0,140.1699,138.3,139.0,1165800,0.0,1.0
2013-03-13,138.86,139.8,138.12,139.56,1238700,0.0,1.0
2013-03-14,140.0,141.12,139.5201,141.0,1572400,0.0,1.0
2013-03-15,140.36,141.78,140.15,141.69,2444300,0.0,1.0
2013-03-18,139.9,141.565,139.82,140.21,2076900,0.0,1.0
2013-03-19,140.23,140.772,138.78,139.58,1888600,0.0,1.0
2013-03-20,140.75,140.96,138.7,139.13,1984700,0.0,1.0
2013-03-21,138.25,139.25,137.725,138.37,2255900,0.0,1.0
2013-03-22,138.73,139.33,138.07,139.14,1818700,0.0,1.0
2013-03-25,139.96,140.26,136.9,137.19,2328900,0.0,1.0
2013-03-26,138.28,139.72,138.02,139.48,1594600,0.0,1.0
2013-03-27,138.61,140.92,138.22,140.83,1952600,0.0,1.0
2013-03-28,141.1,143.0,140.82,142.41,2083100,0.0,1.0
2013-04-01,142.41,142.97,139.92,140.1,1367500,0.0,1.0
2013-04-02,141.02,142.66,140.44,140.82,2033900,0.0,1.0
2013-04-03,140.82,141.38,138.35,138.84,2222800,0.0,1.0
2013-04-04,138.59,138.815,136.86,138.46,2626500,0.0,1.0
2013-04-05,136.29,138.79,136.0,138.54,1930600,0.0,1.0
2013-04-08,138.4,139.96,138.27,139.62,1261100,0.0,1.0
2013-04-09,140.03,140.65,138.88,139.73,1343700,0.0,1.0
2013-04-10,140.0,141.55,139.815,141.3,1714000,0.0,1.0
2013-04-11,141.73,142.42,140.49,141.4,1814000,0.0,1.0
2013-04-12,141.4,142.37,140.51,141.27,1817200,0.0,1.0
2013-04-15,140.46,140.52,135.75,135.76,2529500,0.0,1.0
2013-04-16,137.01,139.84,136.87,139.61,2095700,0.0,1.0
2013-04-17,138.77,138.91,136.17,136.94,2756900,0.0,1.0
2013-04-18,140.46,143.63,139.82,142.46,3906100,0.0,1.0
2013-04-19,143.23,146.04,142.46,145.85,2692100,0.0,1.0
2013-04-22,146.05,148.2,145.27,147.44,2466100,0.0,1.0
2013-04-23,147.95,148.39,146.34,147.43,1979800,0.0,1.0
2013-04-24,147.83,148.1,146.11,147.3,1980900,0.0,1.0
2013-04-25,148.13,149.27,147.44,148.22,1456600,0.0,1.0
2013-04-26,148.42,148.71,147.33,147.52,963500,0.0,1.0
2013-04-29,147.07,147.93,146.48,147.42,1574100,0.0,1.0
2013-04-30,147.49,148.0,146.32,147.96,1702800,0.0,1.0
2013-05-01,147.67,148.6,145.39,145.67,1315400,0.0,1.0
2013-05-02,145.89,147.85,145.86,147.17,1507900,0.0,1.0
2013-05-03,148.75,151.14,148.61,149.43,2003600,0.0,1.0
2013-05-06,149.6,151.74,149.56,151.4,1504700,0.0,1.0
2013-05-07,151.99,154.0,151.66,153.72,1843700,0.0,1.0
2013-05-08,153.05,155.45,152.5,155.38,1788200,0.0,1.0
2013-05-09,154.69,155.28,153.15,153.67,1706000,0.0,1.0
2013-05-10,154.0,154.87,153.01,154.3,1142100,0.0,1.0
2013-05-13,153.97,155.09,152.58,153.9,1148500,0.0,1.0
2013-05-14,153.8,157.09,153.54,156.94,1670500,0.0,1.0
2013-05-15,156.14,158.11,155.84,158.03,1365400,0.0,1.0
2013-05-16,157.49,158.83,156.665,157.04,1351800,0.0,1.0
2013-05-17,157.79,159.94,156.86,159.91,1540600,0.0,1.0
2013-05-20,159.7,160.6,158.9,159.63,1534100,0.0,1.0
2013-05-21,159.51,160.46,158.1,158.46,2001000,0.0,1.0
2013-05-22,158.45,161.0,157.35,157.59,1864900,0.0,1.0
2013-05-23,156.01,156.71,154.72,156.07,1723600,0.0,1.0
2013-05-24,155.56,157.17,154.31,156.81,1343900,0.0,1.0
2013-05-28,158.78,159.5799,157.231,157.74,1951000,0.0,1.0
2013-05-29,156.2999,157.428,155.33,156.13,1367600,0.69,1.0
2013-05-30,156.7,158.5,156.19,157.17,1403100,0.0,1.0
2013-05-31,156.32,159.1,154.62,154.62,2119300,0.0,1.0
2013-06-03,155.2,156.14,153.87,155.89,2085700,0.0,1.0
2013-06-04,156.32,158.25,155.13,155.72,1648100,0.0,1.0
2013-06-05,154.8,155.22,150.69,151.69,2398800,0.0,1.0
