date,open,high,low,close,volume,dividend,split
2012-11-01,73.38,74.12,73.05,73.9,3674900,0.0,1.0
2012-11-02,74.23,74.5,73.39,73.48,3158800,0.0,1.0
2012-11-05,73.55,73.616,73.23,73.45,3312700,0.0,1.0
2012-11-06,73.67,74.18,73.2,73.57,3832500,0.0,1.0
2012-11-07,73.82,73.82,72.3,73.0046,3866200,0.0,1.0
2012-11-08,72.56,73.4,72.5,72.59,3695100,0.0,1.0
2012-11-09,72.26,72.87,71.94,72.25,3607300,0.0,1.0
2012-11-12,72.24,72.63,71.87,72.3,1835300,0.0,1.0
2012-11-13,71.9,72.69,71.82,71.86,2194100,0.0,1.0
2012-11-14,71.83,72.154,70.075,70.2991,4037100,0.0,1.0
2012-11-15,70.0,70.39,69.56,70.33,4172200,0.57,1.0
2012-11-16,70.84,70.84,69.72,70.02,4610300,0.0,1.0
2012-11-19,70.7,71.44,70.33,71.44,4126100,0.0,1.0
2012-11-20,71.27,71.48,70.91,71.34,3226400,0.0,1.0
2012-11-21,71.46,71.69,71.23,71.4,2157100,0.0,1.0
2012-11-23,71.52,72.08,71.38,71.98,1594600,0.0,1.0
2012-11-26,71.83,72.61,71.83,72.58,3433900,0.0,1.0
2012-11-27,72.67,72.85,72.11,72.16,2355900,0.0,1.0
2012-11-28,72.02,72.74,71.76,72.71,2523200,0.0,1.0
2012-11-29,73.0,73.83,72.97,73.56,4449100,0.0,1.0
2012-11-30,73.45,73.5,72.69,73.11,3520000,0.0,1.0
2012-12-03,73.5,73.5,72.2,72.2697,2703800,0.0,1.0
2012-12-04,72.27,73.37,71.955,73.04,3832800,0.0,1.0
2012-12-05,73.15,73.675,72.69,73.5,3216100,0.0,1.0
2012-12-06,73.75,73.83,72.64,72.93,4269300,0.0,1.0
2012-12-07,73.09,73.48,72.75,73.17,4098100,0.0,1.0
2012-12-10,73.12,73.95,73.09,73.68,3018600,0.0,1.0
2012-12-11,73.73,74.2599,73.34,73.76,3021900,0.0,1.0
2012-12-12,73.87,74.05,73.33,73.43,2749500,0.0,1.0
2012-12-13,73.5,73.835,73.02,73.35,2753300,0.0,1.0
2012-12-14,73.24,73.56,72.72,72.85,2874800,0.0,1.0
2012-12-17,73.15,73.4,72.96,73.36,2950300,0.0,1.0
2012-12-18,73.31,75.06,73.0,75.05,6385800,0.0,1.0
2012-12-19,75.32,76.2,75.11,75.6103,6184000,0.0,1.0
2012-12-20,75.4,75.56,74.64,75.13,3631700,0.0,1.0
2012-12-21,74.6,75.05,74.28,74.84,5567400,0.0,1.0
2012-12-24,74.74,74.93,74.39,74.64,1451400,0.0,1.0
