date,open,high,low,close,volume,dividend,split
2012-11-01,157.7,160.71,156.0,159.71,620000,0.0,1.0
2012-11-02,160.15,161.49,157.95,157.96,395000,0.0,1.0
2012-11-05,157.73,159.458,157.3201,158.69,233600,0.0,1.0
2012-11-06,158.36,160.67,157.9425,160.67,312200,0.0,1.0
2012-11-07,159.27,159.83,156.2,157.58,524100,0.0,1.0
2012-11-08,157.59,157.59,153.28,153.46,644200,0.0,1.0
2012-11-09,153.16,155.2399,152.76,152.93,790200,0.0,1.0
2012-11-12,160.04,160.25,154.73,159.68,1104600,0.0,1.0
2012-11-13,159.27,159.27,155.529,156.54,719300,0.0,1.0
2012-11-14,157.33,158.68,153.5,154.48,674800,0.0,1.0
2012-11-15,154.18,156.23,153.01,153.87,417500,0.0,1.0
2012-11-16,154.03,156.28,153.45,155.82,566800,0.0,1.0
2012-11-19,155.86,158.48,155.68,156.99,1105500,0.0,1.0
2012-11-20,157.03,157.95,156.16,157.57,526800,0.0,1.0
2012-11-21,158.03,158.73,156.24,156.83,358100,0.0,1.0
2012-11-23,157.37,158.57,157.13,158.53,189700,0.0,1.0
2012-11-26,158.11,159.33,155.5,157.28,712300,0.0,1.0
2012-11-27,153.21,157.46,152.04,155.94,727500,0.0,1.0
2012-11-28,155.75,162.25,155.5554,162.1,738100,0.0,1.0
2012-11-29,162.51,162.51,160.04,161.79,683200,0.0,1.0
2012-11-30,161.98,162.065,159.23,160.51,792000,0.0,1.0
2012-12-03,161.74,162.31,160.64,161.05,553700,0.0,1.0
2012-12-04,160.65,160.97,155.71,156.19,661100,0.0,1.0
2012-12-05,156.17,158.39,152.93,154.84,1096300,0.0,1.0
2012-12-06,153.94,155.61,152.64,153.0,1065700,0.87,1.0
2012-12-07,153.2,153.775,150.52,152.61,856400,0.0,1.0
2012-12-10,152.3,152.5699,146.84,148.65,1642000,0.0,1.0
2012-12-11,149.04,151.41,148.62,151.3,871700,0.0,1.0
2012-12-12,151.77,151.77,148.61,149.72,648300,0.0,1.0
2012-12-13,149.69,150.402,147.0,147.44,615300,0.0,1.0
2012-12-14,149.24,150.0,146.9,148.18,782100,0.0,1.0
2012-12-17,148.15,151.16,147.92,151.11,803000,0.0,1.0
2012-12-18,151.64,153.3,151.26,151.84,724000,0.0,1.0
2012-12-19,152.23,153.86,151.15,151.22,733500,0.0,1.0
2012-12-20,151.41,151.67,148.3,150.65,639100,0.0,1.0
2012-12-21,150.49,150.99,148.676,150.1,788300,0.0,1.0
2012-12-24,150.09,150.5694,148.5,150.06,203500,0.0,1.0
2012-12-26,150.08,150.61,146.11,148.01,618200,0.0,1.0
2012-12-27,148.23,150.61,147.4,150.15,589800,0.0,1.0
2012-12-28,149.19,150.4665,147.774,148.29,477800,0.0,1.0
2012-12-31,147.66,151.49,147.51,150.97,548800,0.0,1.0
2013-01-02,153.03,154.16,147.13,150.36,1232000,0.0,1.0
2013-01-03,150.78,152.25,150.25,151.79,790300,0.0,1.0
2013-01-04,152.5,154.0,151.21,153.81,677900,0.0,1.0
2013-01-07,152.24,152.67,148.28,149.38,1169200,0.0,1.0
2013-01-08,149.1,150.74,148.545,149.29,881900,0.0,1.0
2013-01-09,149.58,150.25,147.217,147.7,952700,0.0,1.0
2013-01-10,148.14,150.93,147.39,150.92,872800,0.0,1.0
2013-01-11,151.81,151.81,148.96,149.0,697700,0.0,1.0
2013-01-14,148.99,154.0,148.01,153.88,747900,0.0,1.0
2013-01-15,153.35,155.71,152.45,153.89,983300,0.0,1.0
2013-01-16,154.13,154.47,152.16,152.9,434200,0.0,1.0
2013-01-17,153.18,153.5,148.65,151.13,1105900,0.0,1.0
2013-01-18,151.18,151.18,147.31,147.94,1842000,0.0,1.0
2013-01-22,148.32,149.16,147.39,148.89,1035300,0.0,1.0
2013-01-23,147.57,150.9,146.65,150.76,986400,0.0,1.0
2013-01-24,150.6,151.04,142.79,145.78,2036800,0.0,1.0
2013-01-25,145.84,149.22,145.0,148.97,1310800,0.0,1.0
2013-01-28,148.72,148.844,146.47,147.69,942300,0.0,1.0
2013-01-29,147.89,148.04,146.38,147.0,736500,0.0,1.0
