date,open,high,low,close,volume,dividend,split
2012-11-01,37.22,43.14,36.83,41.1522,16706100,0.0,1.0
2012-11-02,41.15,41.24,39.57,39.67,4162900,0.0,1.0
2012-11-05,39.75,40.47,39.01,40.14,2557700,0.0,1.0
2012-11-06,40.45,40.77,40.09,40.49,1962900,0.0,1.0
2012-11-07,40.06,40.57,39.81,40.42,2323500,0.0,1.0
2012-11-08,40.31,43.55,40.17,41.75,7964000,0.0,1.0
2012-11-09,41.61,42.37,41.05,41.48,3331800,0.0,1.0
2012-11-12,41.71,43.25,41.54,42.97,2449300,0.0,1.0
2012-11-13,42.68,43.49,42.29,42.29,4607300,0.0,1.0
2012-11-14,42.52,42.56,41.9,41.93,2206700,0.0,1.0
2012-11-15,41.82,42.37,41.35,41.61,4091200,0.0,1.0
2012-11-16,41.62,41.75,40.74,40.92,4620600,0.0,1.0
2012-11-19,41.24,41.44,40.58,40.61,3760500,0.0,1.0
2012-11-20,40.7,41.27,40.25,40.46,2595900,0.0,1.0
2012-11-21,40.62,41.6,40.53,40.87,4300400,0.0,1.0
2012-11-23,40.87,41.39,40.8,40.87,1166000,0.0,1.0
2012-11-26,40.16,40.31,39.43,39.69,3767000,0.0,1.0
2012-11-27,39.49,40.11,38.45,39.87,3830200,0.0,1.0
2012-11-28,39.49,40.94,39.18,40.05,4975400,0.0,1.0
2012-11-29,40.28,40.43,39.26,39.34,3315200,0.0,1.0
2012-11-30,33.25,34.75,32.81,34.15,45123100,0.0,1.0
2012-12-03,34.76,36.74,34.68,35.88,15082000,0.0,1.0
2012-12-04,35.96,36.24,35.32,35.6018,6934100,0.0,1.0
2012-12-05,35.71,35.96,35.2101,35.47,4811000,0.0,1.0
2012-12-06,35.96,36.9799,35.76,36.56,8124300,0.0,1.0
2012-12-07,36.78,36.78,35.84,36.28,5595600,0.0,1.0
2012-12-10,36.26,37.25,35.98,36.99,3041600,0.0,1.0
2012-12-11,37.15,37.62,36.26,36.94,4638200,0.0,1.0
2012-12-12,37.13,37.36,36.6046,36.8,3261500,0.0,1.0
2012-12-13,36.78,37.11,35.66,35.88,4062000,0.0,1.0
2012-12-14,35.93,36.76,35.81,35.9,3304500,0.0,1.0
2012-12-17,36.05,36.54,35.88,36.24,3234100,0.0,1.0
2012-12-18,36.25,37.27,36.25,36.9312,3051400,0.0,1.0
2012-12-19,37.5,38.53,37.27,38.3,7314100,0.0,1.0
2012-12-20,38.42,38.76,37.47,37.89,4652000,0.0,1.0
2012-12-21,37.6,38.09,36.46,38.04,8679600,0.0,1.0
2012-12-24,37.77,38.17,37.49,38.02,1027500,0.0,1.0
2012-12-26,37.96,38.39,37.66,37.8,1761500,0.0,1.0
2012-12-27,37.76,38.25,37.53,38.12,2284200,0.0,1.0
2012-12-28,37.88,38.49,37.53,38.0,1907400,0.0,1.0
2012-12-31,38.01,39.02,37.87,38.82,2720600,0.0,1.0
2013-01-02,39.35,39.87,39.2,39.85,3197900,0.0,1.0
2013-01-03,39.81,40.17,39.6,40.03,2608400,0.0,1.0
2013-01-04,39.94,40.08,39.44,40.04,3864100,0.0,1.0
2013-01-07,39.88,40.1,39.59,40.06,2950000,0.0,1.0
2013-01-08,39.94,40.0,39.45,39.89,2926800,0.0,1.0
2013-01-09,39.95,40.06,39.48,39.56,4099300,0.0,1.0
2013-01-10,39.82,39.9,38.8,38.87,4247100,0.0,1.0
2013-01-11,38.7,38.8,37.55,38.0,8108400,0.0,1.0
2013-01-14,38.02,38.63,37.57,38.38,4501800,0.0,1.0
2013-01-15,38.16,39.36,38.0202,39.36,2743500,0.0,1.0
2013-01-16,39.3,39.377,38.76,39.25,2130500,0.0,1.0
2013-01-17,39.29,39.855,39.25,39.41,2693200,0.0,1.0
2013-01-18,39.47,39.75,39.3,39.55,1888300,0.0,1.0
2013-01-22,39.39,39.7,39.07,39.7,1827800,0.0,1.0
2013-01-23,39.75,40.04,39.64,39.87,1921900,0.0,1.0
2013-01-24,39.56,40.33,39.53,39.99,4242400,0.0,1.0
2013-01-25,40.98,43.37,40.63,42.96,8780900,0.0,1.0
2013-01-28,42.83,43.275,42.62,42.88,2433400,0.0,1.0
2013-01-29,42.88,43.24,42.34,42.8,3689000,0.0,1.0
2013-01-30,43.0,43.48,42.51,43.17,2131900,0.0,1.0
2013-01-31,43.23,43.62,42.9,43.41,2937300,0.0,1.0
2013-02-01,43.6,44.56,43.04,44.34,3447600,0.0,1.0
2013-02-04,44.1,44.83,44.005,44.61,4660800,0.0,1.0
2013-02-05,44.77,45.33,44.64,45.09,3671900,0.0,1.0
2013-02-06,44.89,45.595,44.79,44.93,3382700,0.0,1.0
2013-02-07,44.87,45.14,44.61,44.98,2438600,0.0,1.0
2013-02-08,45.09,45.55,44.99,45.39,2283400,0.0,1.0
2013-02-11,45.33,45.82,45.06,45.66,2530200,0.0,1.0
2013-02-12,45.72,45.91,45.27,45.53,2058600,0.0,1.0
2013-02-13,45.59,45.86,45.48,45.58,2454900,0.0,1.0
2013-02-14,45.56,45.81,45.38,45.67,1776000,0.0,1.0
2013-02-15,45.85,46.7,45.84,46.14,3076200,0.0,1.0
2013-02-19,46.14,46.42,45.91,46.22,2413200,0.0,1.0
2013-02-20,46.18,46.58,45.48,45.62,2836700,0.0,1.0
2013-02-21,45.64,45.82,44.99,45.3,1770400,0.0,1.0
2013-02-22,45.72,46.1,45.51,45.8,1774700,0.0,1.0
2013-02-25,45.84,46.0625,44.87,44.88,1781900,0.0,1.0
2013-02-26,45.08,45.38,44.58,44.78,2013300,0.0,1.0
2013-02-27,43.96,45.72,43.94,45.32,2522100,0.0,1.0
2013-02-28,45.35,46.105,45.19,45.81,3776900,0.0,1.0
2013-03-01,45.97,46.37,45.55,46.17,2479700,0.0,1.0
2013-03-04,46.11,46.55,45.755,46.41,2255700,0.0,1.0
2013-03-05,46.52,46.69,46.04,46.58,2116600,0.0,1.0
2013-03-06,46.79,47.41,46.48,46.63,1781600,0.0,1.0
2013-03-07,46.77,46.9,45.98,46.41,2725700,0.0,1.0
2013-03-08,46.69,46.9936,46.02,46.78,2012400,0.0,1.0
2013-03-11,46.74,47.18,46.48,46.85,1195400,0.0,1.0
2013-03-12,46.79,46.91,46.08,46.41,1667800,0.0,1.0
2013-03-13,46.58,46.75,46.23,46.3,1821800,0.0,1.0
2013-03-14,46.33,46.49,45.72,45.76,1951200,0.0,1.0
2013-03-15,45.56,45.88,45.41,45.65,3093500,0.0,1.0
2013-03-18,45.5,45.52,45.085,45.23,1562400,0.0,1.0
2013-03-19,45.41,45.9,44.95,45.34,1895400,0.0,1.0
2013-03-20,45.52,46.2599,45.49,45.98,1533600,0.0,1.0
2013-03-21,45.57,45.93,45.46,45.62,1256500,0.0,1.0
2013-03-22,45.82,46.92,45.7,46.36,3202300,0.0,1.0
2013-03-25,46.46,46.57,45.97,46.32,1239500,0.0,1.0
2013-03-26,46.43,46.9,46.25,46.77,1630700,0.0,1.0
2013-03-27,46.46,47.2,46.16,47.12,1769200,0.0,1.0
2013-03-28,47.02,47.5,46.8896,47.27,3277300,0.0,1.0
2013-04-01,47.24,47.73,47.15,47.29,1519700,0.0,1.0
2013-04-02,47.36,47.65,46.79,46.9,1867100,0.0,1.0
2013-04-03,46.82,47.0,46.43,46.46,1886800,0.0,1.0
2013-04-04,46.57,46.8,46.27,46.64,1947800,0.0,1.0
2013-04-05,46.12,46.46,45.65,45.95,1899800,0.0,1.0
2013-04-08,45.89,46.405,45.57,46.15,1714000,0.0,1.0
2013-04-09,46.39,46.49,45.23,45.5,2485200,0.0,1.0
2013-04-10,45.7,46.48,45.67,46.41,1972800,0.0,1.0
2013-04-11,46.42,47.08,46.3,46.5,2616500,0.0,1.0
2013-04-12,46.43,46.82,45.92,46.73,2451400,0.0,1.0
2013-04-15,46.36,46.74,45.84,45.91,1474200,0.0,1.0
2013-04-16,46.24,46.48,45.945,46.0,1177400,0.0,1.0
2013-04-17,45.69,45.92,44.97,45.54,1193600,0.0,1.0
2013-04-18,45.67,45.69,44.97,45.33,1522400,0.0,1.0
2013-04-19,45.35,45.35,44.5607,44.71,1489300,0.0,1.0
2013-04-22,44.87,45.08,44.28,44.39,1426400,0.0,1.0
2013-04-23,44.72,44.8,43.97,44.53,1768500,0.0,1.0
2013-04-24,44.63,45.629,44.6,45.37,2098400,0.0,1.0
2013-04-25,45.34,46.21,45.34,46.1,2630300,0.0,1.0
2013-04-26,46.25,46.5,43.305,44.771,5687400,0.0,1.0
2013-04-29,44.79,45.37,44.19,45.24,2715700,0.0,1.0
2013-04-30,45.07,46.34,45.07,46.07,2731500,0.0,1.0
2013-05-01,46.11,46.64,46.03,46.26,2271200,0.0,1.0
2013-05-02,46.15,47.09,46.15,46.76,1669200,0.0,1.0
2013-05-03,47.03,47.62,47.03,47.35,1384300,0.0,1.0
2013-05-06,47.5,47.74,47.33,47.61,1027200,0.0,1.0
2013-05-07,47.67,48.33,47.64,48.25,1235400,0.0,1.0
2013-05-08,48.1,49.01,48.03,48.85,1470100,0.0,1.0
2013-05-09,48.81,49.06,48.49,48.69,1112300,0.0,1.0
2013-05-10,48.74,49.2,48.63,48.96,1179700,0.0,1.0
2013-05-13,48.92,49.1799,48.67,48.93,703100,0.0,1.0
2013-05-14,49.01,49.47,48.8,48.97,1666500,0.0,1.0
2013-05-15,48.75,49.6199,48.75,49.27,1206900,0.0,1.0
2013-05-16,49.27,49.53,48.81,48.88,1393300,0.0,1.0
2013-05-17,48.94,49.16,48.46,48.7,1470400,0.0,1.0
2013-05-20,48.7,48.98,48.3926,48.44,886600,0.0,1.0
2013-05-21,48.4,48.89,48.36,48.36,844900,0.0,1.0
2013-05-22,48.52,48.57,47.5,47.77,1479800,0.0,1.0
2013-05-23,47.7,47.835,47.08,47.51,1400900,0.0,1.0
2013-05-24,47.39,47.73,47.05,47.4,1309800,0.0,1.0
2013-05-28,47.78,48.16,47.22,47.31,998300,0.0,1.0
2013-05-29,47.07,47.145,46.28,46.39,1764000,0.0,1.0
2013-05-30,46.45,47.39,46.39,47.09,1140400,0.0,1.0
2013-05-31,46.96,47.65,46.74,47.04,1918300,0.0,1.0
2013-06-03,47.14,47.175,46.4,46.7,1860600,0.0,1.0
2013-06-04,46.58,46.77,45.86,45.86,1654600,0.0,1.0
2013-06-05,45.71,46.29,45.51,45.55,1173200,0.0,1.0
2013-06-06,45.38,45.648,44.78,45.46,1666700,0.0,1.0
2013-06-07,45.83,46.32,45.51,46.2,1412400,0.0,1.0
2013-06-10,46.25,46.27,45.695,45.74,1157000,0.0,1.0
2013-06-11,45.38,46.19,45.22,45.69,1225200,0.0,1.0
2013-06-12,45.97,46.07,45.1,45.26,1362800,0.0,1.0
2013-06-13,45.24,45.77,45.01,45.38,1591600,0.0,1.0
2013-06-14,45.42,45.59,44.97,45.03,1547200,0.0,1.0
2013-06-17,45.2,45.81,45.0,45.17,1479800,0.0,1.0
2013-06-18,45.28,45.63,44.96,45.0,2053500,0.0,1.0
2013-06-19,45.12,45.49,44.92,44.95,2025100,0.0,1.0
