date,open,high,low,close,volume,dividend,split
2012-11-01,82.0,84.28,81.9715,84.19,499800,0.0,1.0
2012-11-02,84.57,84.98,83.22,83.49,459500,0.0,1.0
2012-11-05,82.94,84.87,82.84,84.74,387000,0.0,1.0
2012-11-06,84.74,86.0,84.4415,85.38,381700,0.0,1.0
2012-11-07,84.75,84.76,83.17,84.0,356200,0.0,1.0
2012-11-08,83.91,84.34,83.21,83.21,357200,0.0,1.0
2012-11-09,83.08,84.11,82.89,82.97,651900,0.0,1.0
2012-11-12,83.29,83.31,82.25,82.91,527900,0.0,1.0
2012-11-13,82.32,83.19,82.07,82.39,341200,0.0,1.0
2012-11-14,82.58,82.68,80.46,80.74,662600,0.0,1.0
2012-11-15,80.49,81.32,80.04,81.13,692800,0.0,1.0
2012-11-16,81.1,81.84,80.35,81.21,534200,0.0,1.0
2012-11-19,82.14,83.17,82.14,83.17,349800,0.0,1.0
2012-11-20,82.79,83.6,82.124,82.84,339600,0.0,1.0
2012-11-21,82.85,83.1,81.86,82.13,292600,0.0,1.0
2012-11-23,82.63,83.65,82.39,83.64,126400,0.0,1.0
2012-11-26,83.27,83.61,82.7,83.27,522800,0.0,1.0
2012-11-27,82.8,83.51,82.5645,82.95,596600,0.0,1.0
2012-11-28,82.48,83.73,82.02,83.73,352100,0.0,1.0
2012-11-29,83.97,84.69,83.66,84.55,375200,0.0,1.0
2012-11-30,84.39,84.74,83.97,84.55,612500,0.0,1.0
2012-12-03,84.73,85.3,83.98,84.14,272900,0.0,1.0
2012-12-04,84.24,84.88,84.0,84.43,351900,0.0,1.0
2012-12-05,84.41,84.89,83.97,84.15,388500,0.0,1.0
2012-12-06,84.1,85.05,83.59,85.02,573500,0.0,1.0
2012-12-07,85.1,85.87,84.48,85.5,589000,0.0,1.0
2012-12-10,85.21,86.6,85.21,86.0,421900,0.0,1.0
2012-12-11,86.24,87.53,86.08,87.06,642900,0.0,1.0
2012-12-12,87.23,88.2,86.49,87.61,646000,0.0,1.0
2012-12-13,87.33,87.75,86.97,87.43,303400,0.0,1.0
2012-12-14,87.06,87.9,86.85,87.35,407700,0.0,1.0
2012-12-17,87.56,88.22,87.46,88.18,633400,0.0,1.0
2012-12-18,88.34,89.25,87.92,89.2,454500,0.0,1.0
2012-12-19,89.39,89.39,88.35,88.39,575500,0.0,1.0
2012-12-20,88.39,89.51,88.16,89.33,554200,0.0,1.0
2012-12-21,88.72,88.99,88.14,88.42,875600,0.0,1.0
2012-12-24,88.28,88.79,88.08,88.62,180000,0.0,1.0
2012-12-26,88.78,88.78,87.05,87.38,237400,0.0,1.0
2012-12-27,87.57,87.97,86.44,87.53,421600,0.0,1.0
2012-12-28,87.06,87.12,86.23,86.25,344300,0.0,1.0
2012-12-31,86.09,87.28,85.8,87.12,678100,0.0,1.0
2013-01-02,88.96,88.96,87.79,88.71,576800,0.0,1.0
2013-01-03,86.78,86.81,85.5,86.22,876700,0.0,1.0
2013-01-04,85.01,87.05,85.01,86.82,747300,0.0,1.0
2013-01-07,86.7,87.745,86.03,87.09,650500,0.0,1.0
