date,open,high,low,close,volume,dividend,split
2012-11-01,35.27,35.62,35.23,35.5,5336300,0.0,1.0
2012-11-02,35.63,35.69,34.75,34.89,8843500,0.0,1.0
2012-11-05,34.76,34.76,33.95,34.08,10376500,0.0,1.0
2012-11-06,34.28,34.29,33.77,33.94,11931000,0.0,1.0
2012-11-07,33.7,33.965,33.15,33.44,8344400,0.275,1.0
2012-11-08,33.45,33.6,32.76,32.77,5738900,0.0,1.0
2012-11-09,32.71,32.9,32.6,32.66,5495200,0.0,1.0
2012-11-12,32.78,32.975,32.62,32.76,4174700,0.0,1.0
2012-11-13,32.7,33.02,32.54,32.54,5025300,0.0,1.0
2012-11-14,32.61,32.72,32.16,32.26,7007700,0.0,1.0
2012-11-15,32.13,32.3,31.95,32.23,6172100,0.0,1.0
2012-11-16,32.24,32.51,31.88,32.16,5185100,0.0,1.0
2012-11-19,32.44,32.65,32.35,32.65,5770600,0.0,1.0
2012-11-20,32.71,32.74,32.41,32.72,3682600,0.0,1.0
2012-11-21,32.77,32.77,32.5,32.63,4256800,0.0,1.0
2012-11-23,32.79,33.17,32.75,33.09,1903300,0.0,1.0
2012-11-26,32.94,33.14,32.74,33.07,4600900,0.0,1.0
2012-11-27,33.0,33.19,32.764,33.03,4598600,0.0,1.0
2012-11-28,32.87,33.425,32.67,33.32,5630400,0.0,1.0
2012-11-29,33.38,33.8,33.25,33.75,4867800,0.0,1.0
2012-11-30,33.78,34.07,33.75,33.91,6887100,0.0,1.0
2012-12-03,33.94,34.39,33.94,34.28,6427900,0.0,1.0
2012-12-04,34.28,34.57,34.11,34.27,7172000,0.0,1.0
2012-12-05,34.5,35.77,34.5,35.57,11230700,0.0,1.0
2012-12-06,35.63,35.99,35.58,35.85,6952000,0.0,1.0
2012-12-07,35.9,36.13,35.75,36.1,6025000,0.0,1.0
2012-12-10,36.08,36.4,36.05,36.35,6188800,0.0,1.0
2012-12-11,36.39,36.87,36.3,36.65,8017400,0.0,1.0
2012-12-12,36.78,37.18,36.62,36.67,7890900,0.0,1.0
2012-12-13,36.69,36.93,36.37,36.51,8184000,0.0,1.0
2012-12-14,36.46,36.87,36.22,36.76,5821200,0.0,1.0
2012-12-17,36.87,37.35,36.75,37.14,7247700,0.0,1.0
2012-12-18,37.07,37.58,36.94,37.55,8082900,0.0,1.0
2012-12-19,37.51,37.75,37.24,37.24,9257800,0.0,1.0
2012-12-20,37.45,37.59,37.09,37.55,7907500,0.0,1.0
2012-12-21,36.78,36.97,35.77,36.31,15309600,0.0,1.0
2012-12-24,36.26,36.54,36.25,36.47,2382700,0.0,1.0
2012-12-26,36.47,36.935,36.31,36.66,6414200,0.0,1.0
2012-12-27,36.58,36.89,36.155,36.53,5608500,0.0,1.0
2012-12-28,36.38,36.93,36.36,36.54,5863400,0.0,1.0
2012-12-31,36.4,37.05,36.34,37.01,6439300,0.0,1.0
2013-01-02,37.86,38.41,37.75,38.06,10064100,0.0,1.0
2013-01-03,37.81,38.04,37.51,37.79,7142300,0.0,1.0
2013-01-04,37.5,37.79,37.06,37.18,8324800,0.0,1.0
2013-01-07,37.67,38.22,37.43,38.03,10896500,0.0,1.0
2013-01-08,38.02,38.22,37.81,38.17,6952300,0.0,1.0
2013-01-09,38.11,38.56,37.99,38.45,8713700,0.0,1.0
2013-01-10,38.59,38.74,38.29,38.57,6560000,0.0,1.0
2013-01-11,38.61,39.205,38.58,39.1,8500900,0.0,1.0
2013-01-14,38.99,39.14,38.64,39.04,4124600,0.0,1.0
2013-01-15,38.71,39.36,38.71,39.3,4709800,0.0,1.0
2013-01-16,39.11,39.6,39.0,39.39,7317900,0.0,1.0
2013-01-17,39.46,39.6,39.36,39.36,5046800,0.0,1.0
2013-01-18,39.39,39.47,39.0,39.21,5470700,0.0,1.0
2013-01-22,39.19,39.5,39.13,39.49,5079900,0.0,1.0
2013-01-23,39.41,39.55,39.25,39.52,4604200,0.0,1.0
2013-01-24,39.51,39.74,39.295,39.44,4506700,0.0,1.0
2013-01-25,39.46,39.81,39.35,39.67,5345700,0.0,1.0
2013-01-28,39.73,40.31,39.58,40.1,7509900,0.0,1.0
2013-01-29,39.8,40.305,39.71,40.06,7371200,0.0,1.0
2013-01-30,40.13,40.17,39.75,39.87,9488300,0.0,1.0
2013-01-31,39.83,39.97,39.71,39.96,7298900,0.0,1.0
2013-02-01,40.23,40.47,40.11,40.31,5422800,0.0,1.0
2013-02-04,40.08,40.33,39.93,40.01,5144700,0.0,1.0
2013-02-05,40.38,41.605,40.33,41.33,7892400,0.0,1.0
2013-02-06,41.11,41.44,40.83,41.44,8105000,0.0,1.0
2013-02-07,41.37,41.52,41.0,41.31,6356900,0.0,1.0
2013-02-08,41.24,41.58,41.16,41.4,4127600,0.0,1.0
2013-02-11,41.45,41.76,41.16,41.48,6863300,0.0,1.0
2013-02-12,41.91,41.95,41.59,41.95,4799300,0.0,1.0
2013-02-13,41.6,41.6,40.97,41.48,6288700,0.275,1.0
2013-02-14,41.295,42.0,40.965,41.86,9037400,0.0,1.0
2013-02-15,41.92,41.97,41.01,41.15,7522500,0.0,1.0
2013-02-19,41.31,41.7,41.31,41.7,6687000,0.0,1.0
2013-02-20,41.73,41.99,41.6,41.6,4641100,0.0,1.0
2013-02-21,41.47,41.74,41.36,41.62,4549400,0.0,1.0
2013-02-22,41.67,41.87,41.45,41.81,4309700,0.0,1.0
2013-02-25,41.87,41.99,40.61,40.64,5131500,0.0,1.0
2013-02-26,40.76,40.99,40.41,40.8,4612200,0.0,1.0
2013-02-27,40.72,41.265,40.67,41.17,3297700,0.0,1.0
2013-02-28,41.02,41.23,40.67,40.94,6910600,0.0,1.0
2013-03-01,40.87,41.34,40.62,41.32,5195300,0.0,1.0
2013-03-04,41.17,41.79,40.98,41.77,4534500,0.0,1.0
2013-03-05,40.92,41.14,40.1,40.72,12870100,0.0,1.0
2013-03-06,40.71,40.74,39.87,39.96,7797400,0.0,1.0
2013-03-07,40.02,40.3,39.74,40.13,5752400,0.0,1.0
2013-03-08,40.16,40.68,40.15,40.64,5582300,0.0,1.0
2013-03-11,40.52,41.35,40.454,41.28,4687000,0.0,1.0
2013-03-12,41.18,41.22,40.78,41.04,4970000,0.0,1.0
2013-03-13,41.56,42.91,41.56,42.78,11756100,0.0,1.0
2013-03-14,42.84,42.95,42.42,42.72,5349200,0.0,1.0
2013-03-15,42.51,42.71,42.21,42.58,5242100,0.0,1.0
2013-03-18,42.24,42.71,42.13,42.43,2767600,0.0,1.0
2013-03-19,43.11,45.8,43.1,44.74,23809500,0.0,1.0
2013-03-20,45.25,46.33,45.16,46.02,15550100,0.0,1.0
2013-03-21,45.82,46.25,45.66,45.81,6611400,0.0,1.0
2013-03-22,45.97,46.49,45.91,46.49,5354500,0.0,1.0
2013-03-25,46.43,47.24,46.091,46.19,8230700,0.0,1.0
2013-03-26,46.49,47.61,46.37,47.57,8846300,0.0,1.0
2013-03-27,47.45,47.54,47.071,47.24,4403800,0.0,1.0
2013-03-28,47.33,47.76,47.17,47.68,6147700,0.0,1.0
2013-04-01,47.4,47.68,46.89,46.97,5012900,0.0,1.0
2013-04-02,47.52,47.87,47.12,47.32,6173400,0.0,1.0
2013-04-03,47.91,48.18,46.095,46.3,7343100,0.0,1.0
2013-04-04,46.21,46.705,46.19,46.59,4624700,0.0,1.0
2013-04-05,46.01,47.11,45.79,47.01,4776200,0.0,1.0
2013-04-08,46.78,47.66,46.64,47.66,3848200,0.0,1.0
2013-04-09,47.72,48.4,47.4401,48.31,6128000,0.0,1.0
2013-04-10,48.28,48.5,47.85,48.11,5196500,0.0,1.0
2013-04-11,48.13,49.14,48.13,48.67,5733100,0.0,1.0
2013-04-12,48.45,49.02,48.1501,48.77,4794100,0.0,1.0
2013-04-15,48.65,49.5,48.53,48.62,6876800,0.0,1.0
2013-04-16,48.69,49.245,48.66,49.06,5629600,0.0,1.0
2013-04-17,48.97,49.24,48.26,48.55,4827000,0.0,1.0
2013-04-18,48.61,48.81,48.28,48.71,3805700,0.0,1.0
2013-04-19,48.89,49.63,48.84,49.35,6957300,0.0,1.0
2013-04-22,49.67,50.1,49.08,49.72,6536700,0.0,1.0
2013-04-23,49.94,50.35,49.25,49.62,6499300,0.0,1.0
2013-04-24,49.63,50.01,48.98,49.05,5628300,0.0,1.0
2013-04-25,49.21,49.96,49.12,49.7,3782000,0.0,1.0
2013-04-26,49.6,49.7,49.25,49.27,3417800,0.0,1.0
2013-04-29,49.38,49.63,49.06,49.42,3316300,0.0,1.0
2013-04-30,49.31,49.54,48.96,49.51,5550100,0.0,1.0
2013-05-01,49.51,49.855,48.915,48.94,5658900,0.0,1.0
2013-05-02,48.91,49.08,48.62,48.88,5025600,0.0,1.0
