date,open,high,low,close,volume,dividend,split
2012-11-01,59.51,59.7,59.02,59.37,1736457,0.0,1.0
2012-11-02,58.94,59.42,58.83,59.1,1719555,0.74,1.0
2012-11-05,58.8,58.89,58.05,58.35,1266172,0.0,1.0
2012-11-06,58.35,58.97,58.18,58.67,1503961,0.0,1.0
2012-11-07,58.38,59.55,58.34,59.25,2200644,0.0,1.0
2012-11-08,59.07,59.24,58.53,58.65,2095479,0.0,1.0
2012-11-09,58.5,59.05,58.0,58.64,1586129,0.0,1.0
2012-11-12,58.74,59.1632,58.375,58.94,983661,0.0,1.0
2012-11-13,58.88,59.71,58.69,59.37,1578102,0.0,1.0
2012-11-14,59.41,59.41,58.64,58.82,1835238,0.0,1.0
2012-11-15,58.8,59.2,58.45,58.78,2249285,0.0,1.0
2012-11-16,58.83,59.66,58.52,59.56,3130045,0.0,1.0
2012-11-19,60.05,60.44,59.82,60.08,1596999,0.0,1.0
2012-11-20,60.17,60.66,59.94,60.45,1319825,0.0,1.0
2012-11-21,60.55,60.69,59.6,59.87,1330174,0.0,1.0
2012-11-23,60.08,60.45,59.67,60.26,670787,0.0,1.0
2012-11-26,59.99,60.73,59.53,59.93,2056198,0.0,1.0
2012-11-27,59.9,59.91,58.79,59.29,2678597,0.0,1.0
2012-11-28,59.24,59.24,58.53,59.05,2043544,0.0,1.0
2012-11-29,59.36,59.44,58.44,59.01,2199183,0.0,1.0
2012-11-30,59.06,59.66,58.89,58.89,6285857,0.0,1.0
2012-12-03,59.0,59.54,59.0,59.28,1779709,0.0,1.0
2012-12-04,59.12,59.63,59.042,59.26,1358284,0.0,1.0
2012-12-05,59.25,59.35,58.695,59.04,1483426,0.0,1.0
2012-12-06,59.1,59.6,59.1,59.59,1547512,0.0,1.0
2012-12-07,59.62,59.92,59.49,59.75,2266320,0.0,1.0
2012-12-10,59.73,60.065,59.48,59.7,1425986,0.0,1.0
2012-12-11,59.76,60.06,59.62,59.83,1476462,0.0,1.0
2012-12-12,59.94,60.0,59.33,59.53,2085544,0.0,1.0
2012-12-13,59.41,59.83,58.51,58.73,1852219,0.0,1.0
2012-12-14,58.82,58.89,58.19,58.25,1719284,0.0,1.0
2012-12-17,58.42,58.7,58.17,58.53,1868244,0.0,1.0
2012-12-18,58.55,59.27,58.53,59.27,1742452,0.0,1.0
2012-12-19,59.22,59.571,59.12,59.16,1339491,0.0,1.0
2012-12-20,59.22,60.25,59.13,60.25,1414778,0.0,1.0
2012-12-21,59.81,61.0,59.67,60.5,4815527,0.0,1.0
2012-12-24,60.51,60.72,60.13,60.5,840354,0.0,1.0
2012-12-26,60.53,60.69,60.04,60.42,1151929,0.0,1.0
2012-12-27,60.38,60.88,59.87,60.73,1598361,0.0,1.0
2012-12-28,60.27,61.0,60.27,60.83,1937276,0.0,1.0
2012-12-31,60.64,61.325,60.43,61.29,2108273,0.0,1.0
2013-01-02,62.08,62.23,60.78,61.13,2043174,0.0,1.0
2013-01-03,61.22,61.58,60.952,61.4,1476033,0.0,1.0
2013-01-04,61.4,61.77,61.22,61.73,1140350,0.0,1.0
2013-01-07,61.7,62.0,61.4,61.56,1752486,0.0,1.0
2013-01-08,61.55,61.96,61.39,61.68,1079703,0.0,1.0
2013-01-09,61.81,61.89,61.37,61.49,1379803,0.0,1.0
2013-01-10,62.0,62.06,61.6,61.99,1466033,0.0,1.0
2013-01-11,62.15,62.35,61.69,61.93,1389264,0.0,1.0
2013-01-14,61.95,62.08,61.79,61.94,1394350,0.0,1.0
2013-01-15,62.02,62.02,61.6,61.81,1636488,0.0,1.0
2013-01-16,61.07,61.6,61.01,61.53,1447421,0.0,1.0
2013-01-17,61.8,62.32,61.65,62.07,1728408,0.0,1.0
2013-01-18,62.07,62.56,61.78,62.03,2791494,0.0,1.0
2013-01-22,62.17,62.98,62.0,62.97,1749242,0.0,1.0
2013-01-23,62.76,62.94,62.68,62.91,1316332,0.0,1.0
2013-01-24,62.95,63.24,62.775,62.9,1360314,0.0,1.0
2013-01-25,62.96,63.13,62.82,62.95,2625316,0.0,1.0
2013-01-28,62.96,63.345,62.79,63.19,1814411,0.0,1.0
2013-01-29,63.36,63.42,63.03,63.28,2191138,0.0,1.0
2013-01-30,63.07,63.17,62.46,63.01,1470260,0.0,1.0
2013-01-31,62.78,62.92,62.3,62.84,2392120,0.0,1.0
2013-02-01,62.18,62.76,62.14,62.44,2091358,0.765,1.0
2013-02-04,62.11,62.51,62.01,62.19,1870925,0.0,1.0
2013-02-05,62.7,62.7,61.89,61.98,1646094,0.0,1.0
2013-02-06,61.71,62.07,61.44,62.06,2079125,0.0,1.0
2013-02-07,62.14,62.29,61.7701,61.95,1708211,0.0,1.0
