date,open,high,low,close,volume,dividend,split
2012-11-01,33.75,34.06,33.58,34.06,26179000,0.0,1.0
2012-11-02,34.34,34.41,33.66,33.74,19149600,0.0,1.0
2012-11-05,33.56,34.07,33.54,34.02,17548100,0.0,1.0
2012-11-06,34.05,34.4,34.01,34.32,18787700,0.0,1.0
2012-11-07,33.76,33.76,32.81,32.91,32189300,0.22,1.0
2012-11-08,33.18,33.33,32.32,32.35,28044300,0.0,1.0
2012-11-09,32.33,32.7,32.25,32.35,21637100,0.0,1.0
2012-11-12,32.45,32.56,32.22,32.37,14994700,0.0,1.0
2012-11-13,32.07,32.55,32.0,32.02,20615600,0.0,1.0
2012-11-14,32.08,32.27,31.25,31.43,30910400,0.0,1.0
2012-11-15,31.49,31.92,31.42,31.57,22953000,0.0,1.0
2012-11-16,31.62,32.0,31.4,31.94,25581200,0.0,1.0
2012-11-19,32.48,32.61,32.15,32.4,22655800,0.0,1.0
2012-11-20,32.4,33.22,32.27,32.92,23890300,0.0,1.0
2012-11-21,32.96,33.0,32.47,32.59,15861100,0.0,1.0
2012-11-23,32.85,33.2,32.73,33.2,8783100,0.0,1.0
2012-11-26,33.03,33.05,32.655,32.9,16967700,0.0,1.0
2012-11-27,32.81,33.04,32.58,32.63,18988300,0.0,1.0
2012-11-28,32.45,32.85,32.12,32.81,18115300,0.0,1.0
2012-11-29,33.03,33.33,32.9433,33.16,21316700,0.0,1.0
2012-11-30,33.11,33.22,32.84,33.01,19535500,0.0,1.0
2012-12-03,33.18,33.2423,32.74,32.75,19623300,0.0,1.0
2012-12-04,32.83,32.84,32.41,32.74,20296900,0.0,1.0
2012-12-05,32.92,33.2,32.69,32.98,27232100,0.0,1.0
2012-12-06,32.98,33.26,32.82,33.14,18833100,0.0,1.0
2012-12-07,33.29,33.35,33.0,33.23,18525200,0.0,1.0
2012-12-10,33.12,33.335,33.0333,33.05,17977000,0.0,1.0
2012-12-11,33.11,33.44,33.05,33.29,20841900,0.0,1.0
2012-12-12,33.43,33.92,33.36,33.5,26297900,0.0,1.0
2012-12-13,33.49,33.63,33.2,33.26,18612400,0.0,1.0
2012-12-14,33.25,33.32,33.02,33.15,19231900,0.0,1.0
2012-12-17,33.25,34.45,33.25,34.38,43475600,0.0,1.0
2012-12-18,34.66,35.19,34.48,34.96,35083200,0.0,1.0
2012-12-19,34.97,35.03,34.6,34.62,33517600,0.0,1.0
2012-12-20,34.46,35.06,34.46,35.06,25128300,0.0,1.0
2012-12-21,34.69,34.88,34.2,34.48,37148300,0.0,1.0
2012-12-24,34.4,35.0,34.32,34.42,7911300,0.0,1.0
2012-12-26,34.47,34.62,34.2,34.33,14289700,0.0,1.0
2012-12-27,34.32,34.44,33.66,34.18,19264700,0.0,1.0
2012-12-28,33.89,34.23,33.87,33.91,15877700,0.0,1.0
2012-12-31,33.74,34.25,33.71,34.18,26697900,0.0,1.0
2013-01-02,35.03,35.07,34.74,35.05,30443000,0.0,1.0
2013-01-03,34.98,35.04,34.61,34.76,25374800,0.0,1.0
2013-01-04,34.59,35.04,34.45,34.94,31420300,0.0,1.0
2013-01-07,34.91,34.97,34.47,34.77,28135100,0.0,1.0
2013-01-08,34.68,34.79,34.43,34.71,20132600,0.0,1.0
2013-01-09,34.8468,35.15,34.66,34.71,24589300,0.0,1.0
2013-01-10,35.03,35.4,34.89,35.4,37523100,0.0,1.0
2013-01-11,34.93,35.18,34.53,35.1,44149200,0.0,1.0
2013-01-14,34.99,35.06,34.52,34.77,23145600,0.0,1.0
2013-01-15,34.63,35.2,34.6,35.11,24837500,0.0,1.0
2013-01-16,34.97,35.29,34.91,35.09,16799200,0.0,1.0
2013-01-17,35.19,35.22,34.93,35.03,22912100,0.0,1.0
2013-01-18,34.99,35.08,34.5,34.93,31399000,0.0,1.0
2013-01-22,34.8,35.05,34.71,35.04,20931100,0.0,1.0
2013-01-23,35.03,35.12,34.87,34.95,18180200,0.0,1.0
2013-01-24,35.06,35.46,34.88,35.16,22090700,0.0,1.0
2013-01-25,35.28,35.31,34.95,35.14,19431600,0.0,1.0
2013-01-28,35.2,35.25,34.85,35.11,22067900,0.0,1.0
2013-01-29,35.1,35.33,35.05,35.27,16846900,0.0,1.0
2013-01-30,34.99,35.045,34.73,34.97,27810800,0.25,1.0
2013-01-31,34.86,34.99,34.79,34.83,16751600,0.0,1.0
2013-02-01,35.06,35.25,34.95,35.13,21009300,0.0,1.0
2013-02-04,34.93,35.0,34.62,34.76,22241600,0.0,1.0
2013-02-05,34.96,35.1,34.85,34.85,17534100,0.0,1.0
2013-02-06,34.83,34.98,34.71,34.97,24087000,0.0,1.0
2013-02-07,34.94,34.95,34.55,34.66,27095000,0.0,1.0
2013-02-08,34.69,34.915,34.68,34.88,18425800,0.0,1.0
2013-02-11,34.95,35.39,34.92,35.26,24198900,0.0,1.0
2013-02-12,35.33,35.55,35.22,35.51,19559000,0.0,1.0
2013-02-13,35.45,35.52,34.95,35.13,21344300,0.0,1.0
2013-02-14,35.02,35.27,34.91,35.21,22296200,0.0,1.0
2013-02-15,35.24,35.36,35.02,35.16,21105000,0.0,1.0
2013-02-19,35.17,35.27,35.08,35.14,25413400,0.0,1.0
2013-02-20,35.09,35.3201,35.06,35.1,27539300,0.0,1.0
2013-02-21,35.05,35.68,35.02,35.46,38030800,0.0,1.0
2013-02-22,35.57,35.83,35.39,35.82,20521000,0.0,1.0
2013-02-25,35.84,35.95,34.77,34.79,27023500,0.0,1.0
2013-02-26,35.08,35.1,34.52,34.75,29601900,0.0,1.0
2013-02-27,34.82,35.22,34.6,35.13,32171300,0.0,1.0
2013-02-28,35.07,35.37,35.02,35.08,22097000,0.0,1.0
2013-03-01,34.94,35.565,34.85,35.39,20624800,0.0,1.0
2013-03-04,35.37,35.88,35.33,35.85,16880500,0.0,1.0
2013-03-05,35.99,36.29,35.81,35.88,23312000,0.0,1.0
2013-03-06,36.09,36.14,35.815,36.05,18491700,0.0,1.0
2013-03-07,36.13,36.48,36.08,36.42,21509700,0.0,1.0
2013-03-08,36.45,36.62,36.23,36.5,24042200,0.0,1.0
2013-03-11,36.58,37.14,36.53,37.13,18989900,0.0,1.0
2013-03-12,37.09,37.175,36.63,36.66,22688600,0.0,1.0
2013-03-13,36.74,36.86,36.53,36.77,15812000,0.0,1.0
2013-03-14,36.95,37.03,36.8,36.97,21874700,0.0,1.0
2013-03-15,37.36,38.2,37.3,38.2,56046200,0.0,1.0
2013-03-18,37.7,37.9,37.62,37.76,29754300,0.0,1.0
2013-03-19,37.92,37.93,37.33,37.49,23724800,0.0,1.0
2013-03-20,37.65,37.84,37.35,37.44,19049900,0.0,1.0
2013-03-21,37.16,37.38,37.1,37.14,24008300,0.0,1.0
2013-03-22,37.27,37.38,37.1,37.2,15646600,0.0,1.0
2013-03-25,37.35,37.4,36.941,37.21,20304500,0.0,1.0
2013-03-26,37.43,37.4515,37.07,37.3,18635500,0.0,1.0
2013-03-27,37.09,37.16,36.8,36.98,14840800,0.0,1.0
2013-03-28,37.03,37.04,36.83,36.99,16967500,0.0,1.0
2013-04-01,37.02,37.09,36.75,36.93,10903800,0.0,1.0
2013-04-02,37.03,37.095,36.77,36.88,17094700,0.0,1.0
2013-04-03,36.87,36.95,36.55,36.67,26277200,0.0,1.0
2013-04-04,36.77,37.48,36.75,37.42,24102400,0.0,1.0
2013-04-05,36.81,37.2,36.62,37.15,24520900,0.0,1.0
