date,open,high,low,close,volume,dividend,split
2012-11-01,121.24,123.64,118.77,122.9,2106400,0.0,1.0
2012-11-02,123.46,123.545,120.48,120.798,1831400,0.0,1.0
2012-11-05,114.0,114.48,110.8,111.52,2148500,8.0,1.0
2012-11-06,112.11,112.75,110.52,112.21,1673300,0.0,1.0
2012-11-07,111.09,112.18,109.77,111.03,1553700,0.0,1.0
2012-11-08,110.61,111.5499,108.71,109.25,1672800,0.0,1.0
2012-11-09,108.46,109.87,108.23,108.35,1574800,0.0,1.0
2012-11-12,108.67,109.15,106.66,107.42,1139300,0.0,1.0
2012-11-13,106.96,108.48,105.58,106.93,1747700,0.0,1.0
2012-11-14,107.67,107.71,104.05,104.56,2096300,0.0,1.0
2012-11-15,104.31,105.61,103.34,104.55,1460400,0.0,1.0
2012-11-16,107.61,109.41,103.88,104.33,2013700,0.0,1.0
2012-11-19,106.11,107.3,104.92,105.79,1338100,0.0,1.0
2012-11-20,106.38,107.48,105.57,106.87,956700,0.0,1.0
2012-11-21,106.61,108.29,106.61,108.03,1000600,0.0,1.0
2012-11-23,108.77,109.42,107.93,109.33,554800,0.0,1.0
2012-11-26,108.98,109.18,106.63,107.57,1190500,0.0,1.0
2012-11-27,107.14,109.49,107.14,108.26,1017900,0.0,1.0
2012-11-28,108.8,111.86,107.835,111.69,2747200,0.0,1.0
2012-11-29,112.0,113.36,110.5,112.03,1337500,0.0,1.0
2012-11-30,112.1,112.73,111.32,112.4,958400,0.0,1.0
2012-12-03,112.97,115.69,112.97,113.3986,1393800,0.0,1.0
2012-12-04,108.85,110.62,107.5,110.12,2986400,0.0,1.0
2012-12-05,110.11,110.74,109.02,109.94,1565900,0.0,1.0
2012-12-06,110.0,111.74,109.75,111.45,1018400,0.0,1.0
2012-12-07,111.75,112.63,109.13,110.26,1108500,0.0,1.0
2012-12-10,110.39,110.49,108.92,110.04,959600,0.0,1.0
2012-12-11,111.25,111.75,109.28,109.8,1593900,0.0,1.0
2012-12-12,110.82,114.449,110.27,113.4568,2570500,0.0,1.0
2012-12-13,113.37,115.156,113.162,114.22,1115000,0.0,1.0
2012-12-14,112.24,114.92,111.99,113.75,1296700,0.0,1.0
2012-12-17,114.28,114.59,112.45,113.69,957300,0.0,1.0
