date,open,high,low,close,volume,dividend,split
2012-11-01,28.34,28.34,28.07,28.13,2074500,0.0,1.0
2012-11-02,28.3,28.3,27.89,27.9,1351400,0.0,1.0
2012-11-05,27.82,27.91,27.5,27.5,2198300,0.0,1.0
2012-11-06,27.52,27.77,27.46,27.49,1902000,0.0,1.0
2012-11-07,27.38,27.41,26.77,26.96,2684600,0.0,1.0
2012-11-08,26.98,27.28,26.77,26.78,1762700,0.0,1.0
2012-11-09,26.73,26.81,26.47,26.5,1773700,0.0,1.0
2012-11-12,26.61,26.62,26.08,26.11,2150300,0.0,1.0
2012-11-13,26.11,26.4,25.9,26.25,2581700,0.0,1.0
2012-11-14,26.27,26.36,26.04,26.36,3126900,0.0,1.0
2012-11-15,26.34,26.49,25.9,26.03,2009400,0.0,1.0
2012-11-16,26.05,26.39,25.99,26.27,3057900,0.0,1.0
2012-11-19,26.42,26.42,25.88,26.14,3624900,0.0,1.0
2012-11-20,26.13,26.22,25.88,26.11,2659700,0.0,1.0
2012-11-21,26.14,26.19,25.85,26.13,2205600,0.0,1.0
2012-11-23,26.16,26.18,25.84,26.02,1152400,0.0,1.0
2012-11-26,26.03,26.45,26.0,26.31,2111700,0.0,1.0
2012-11-27,26.36,26.61,26.33,26.45,1832700,0.0,1.0
2012-11-28,26.47,26.59,26.23,26.53,2526600,0.0,1.0
2012-11-29,26.54,26.77,26.47,26.72,1498000,0.0,1.0
2012-11-30,26.8,27.06,26.63,27.05,2972900,0.0,1.0
2012-12-03,27.09,27.09,26.59,26.94,2352200,0.0,1.0
2012-12-04,26.95,27.0,26.72,26.74,1561300,0.0,1.0
2012-12-05,26.77,27.46,26.72,27.24,3004300,0.0,1.0
2012-12-06,27.31,27.36,27.07,27.16,1794800,0.0,1.0
2012-12-07,27.18,27.34,26.99,27.12,2356000,0.0,1.0
2012-12-10,27.12,27.24,27.08,27.23,1540600,0.0,1.0
2012-12-11,27.24,27.39,27.13,27.28,1902300,0.0,1.0
2012-12-12,27.12,27.37,27.07,27.21,2873700,0.0,1.0
2012-12-13,27.17,27.21,27.05,27.17,2616600,0.0,1.0
2012-12-14,27.14,27.16,26.94,26.94,1902900,0.0,1.0
2012-12-17,27.01,27.36,27.01,27.34,2834100,0.0,1.0
2012-12-18,27.39,27.66,27.34,27.62,3785400,0.0,1.0
2012-12-19,27.64,27.65,27.3599,27.37,1775000,0.0,1.0
2012-12-20,27.4,27.51,27.25,27.45,1495900,0.0,1.0
2012-12-21,27.33,27.61,27.145,27.21,4453900,0.0,1.0
2012-12-24,26.95,27.01,26.73,26.91,928400,0.27,1.0
2012-12-26,26.98,27.0,26.52,26.57,1758300,0.0,1.0
