date,open,high,low,close,volume,dividend,split
2012-11-01,37.09,38.38,36.5861,38.35,1023000,0.0,1.0
2012-11-02,38.5,38.52,37.96,38.03,878300,0.0,1.0
2012-11-05,37.84,38.87,37.82,38.84,797100,0.0,1.0
2012-11-06,38.98,39.78,38.85,39.66,1011200,0.0,1.0
2012-11-07,39.39,39.51,38.24,38.63,719500,0.0,1.0
2012-11-08,38.23,38.9,37.93,38.0,733900,0.0,1.0
2012-11-09,38.12,38.98,38.06,38.68,1122900,0.0,1.0
2012-11-12,38.8,38.84,38.39,38.46,465600,0.0,1.0
2012-11-13,38.46,38.724,38.11,38.14,543800,0.0,1.0
2012-11-14,38.33,38.45,37.77,37.97,595000,0.0,1.0
2012-11-15,38.09,38.39,37.94,38.32,602400,0.0,1.0
2012-11-16,38.31,38.52,38.03,38.45,576600,0.0,1.0
2012-11-19,38.95,38.99,38.59,38.93,648100,0.0,1.0
2012-11-20,38.56,38.75,38.11,38.73,821700,0.0,1.0
2012-11-21,38.81,38.85,38.59,38.8,420000,0.0,1.0
2012-11-23,38.92,39.31,38.77,39.3,191300,0.0,1.0
2012-11-26,39.28,39.28,38.89,39.22,326100,0.0,1.0
2012-11-27,39.08,39.18,38.81,38.87,511200,0.0,1.0
2012-11-28,38.8,39.48,38.721,39.43,767200,0.0,1.0
2012-11-29,39.5,39.84,39.37,39.65,433800,0.0,1.0
2012-11-30,39.77,39.89,39.52,39.7,718700,0.0,1.0
2012-12-03,39.79,39.85,39.45,39.53,817200,0.0,1.0
2012-12-04,39.95,39.95,39.06,39.15,807000,0.0,1.0
2012-12-05,39.27,39.64,38.97,39.28,487600,0.0,1.0
2012-12-06,39.05,39.36,38.85,39.18,671400,0.0,1.0
2012-12-07,39.33,39.54,39.16,39.275,338600,0.0,1.0
2012-12-10,39.27,39.72,39.17,39.6,374100,0.0,1.0
2012-12-11,39.72,40.45,39.67,40.16,1033300,0.0,1.0
2012-12-12,40.21,40.47,39.9,40.02,411400,0.0,1.0
2012-12-13,39.89,40.17,39.41,39.62,393200,0.0,1.0
2012-12-14,39.48,39.92,39.48,39.71,611600,0.0,1.0
2012-12-17,39.87,40.39,39.87,40.36,762200,0.0,1.0
2012-12-18,40.41,40.73,40.22,40.5,812900,0.0,1.0
2012-12-19,40.55,40.82,40.38,40.38,762500,0.0,1.0
2012-12-20,40.19,40.45,39.94,40.4002,735900,0.0,1.0
2012-12-21,40.03,40.5,39.57,40.35,1464700,0.0,1.0
2012-12-24,40.44,40.55,39.82,40.09,199100,0.0,1.0
2012-12-26,40.31,40.38,39.48,39.55,499600,0.055,1.0
2012-12-27,39.7,39.7,38.97,39.38,526800,0.0,1.0
2012-12-28,39.22,39.65,38.98,39.01,702200,0.0,1.0
2012-12-31,39.12,39.64,38.76,39.61,794600,0.0,1.0
2013-01-02,40.22,40.54,39.92,40.52,856600,0.0,1.0
2013-01-03,40.5,40.7,39.8,40.41,525500,0.0,1.0
2013-01-04,40.54,40.85,40.31,40.76,660400,0.0,1.0
2013-01-07,40.69,40.9,40.48,40.9,554100,0.0,1.0
2013-01-08,40.67,40.85,40.27,40.43,698900,0.0,1.0
2013-01-09,40.53,40.6,40.3,40.41,490300,0.0,1.0
2013-01-10,40.52,40.52,40.15,40.33,525300,0.0,1.0
2013-01-11,40.35,40.54,39.86,39.93,606800,0.0,1.0
2013-01-14,39.99,40.12,39.67,39.81,1060500,0.0,1.0
2013-01-15,39.72,39.73,39.46,39.59,887000,0.0,1.0
2013-01-16,39.36,39.82,39.36,39.82,705700,0.0,1.0
2013-01-17,39.89,40.9,39.85,40.68,1107900,0.0,1.0
2013-01-18,40.58,40.96,40.44,40.85,986500,0.0,1.0
2013-01-22,40.69,40.95,40.53,40.89,545800,0.0,1.0
2013-01-23,40.9,40.98,40.75,40.88,626000,0.0,1.0
2013-01-24,41.0,41.64,40.84,41.54,856700,0.0,1.0
2013-01-25,41.78,42.45,41.54,42.33,1009400,0.0,1.0
2013-01-28,42.47,42.6,42.01,42.2,488800,0.0,1.0
2013-01-29,42.04,42.22,41.99,42.13,508800,0.0,1.0
2013-01-30,42.1,42.22,41.84,41.96,474700,0.0,1.0
2013-01-31,42.08,42.18,41.59,41.76,920700,0.0,1.0
2013-02-01,42.0,42.69,41.87,42.47,702900,0.0,1.0
2013-02-04,42.18,42.5,41.8,42.05,463500,0.0,1.0
2013-02-05,42.19,42.44,42.03,42.39,398500,0.0,1.0
2013-02-06,42.22,42.7,41.95,42.7,567300,0.0,1.0
2013-02-07,42.71,42.85,42.15,42.52,445700,0.0,1.0
2013-02-08,42.66,42.88,42.59,42.87,624400,0.0,1.0
2013-02-11,42.87,42.9,42.665,42.84,422300,0.0,1.0
2013-02-12,42.82,42.99,42.69,42.87,358000,0.0,1.0
2013-02-13,42.89,43.39,42.7,43.08,851300,0.0,1.0
2013-02-14,42.89,43.0,42.68,42.91,759900,0.0,1.0
