date,open,high,low,close,volume,dividend,split
2012-11-01,70.08,73.3,69.99,72.82,4778100,0.0,1.0
2012-11-02,73.27,73.86,72.08,72.12,3051300,0.0,1.0
2012-11-05,71.88,72.49,71.63,72.29,2196200,0.0,1.0
2012-11-06,72.57,73.305,72.52,73.15,2521100,0.0,1.0
2012-11-07,72.42,73.0,71.56,71.88,2592500,0.0,1.0
2012-11-08,71.41,71.75,70.7,71.14,3044700,0.0,1.0
2012-11-09,71.07,72.75,70.4196,71.97,3147500,0.0,1.0
2012-11-12,72.16,72.94,71.54,72.76,2965400,0.0,1.0
2012-11-13,72.44,73.66,72.03,72.7,2603400,0.0,1.0
2012-11-14,72.93,73.26,71.04,71.31,3773200,0.0,1.0
2012-11-15,71.16,72.03,70.86,71.11,2309300,0.0,1.0
2012-11-16,71.14,72.15,70.56,71.89,3502700,0.0,1.0
2012-11-19,72.82,73.34,72.52,73.32,1946900,0.0,1.0
2012-11-20,72.89,72.89,71.51,72.39,3149200,0.0,1.0
2012-11-21,72.77,73.89,72.61,73.53,2734000,0.0,1.0
2012-11-23,74.0,74.35,73.62,74.0,1936400,0.0,1.0
2012-11-26,73.79,73.85,73.06,73.63,2587300,0.0,1.0
2012-11-27,73.73,74.44,73.56,73.8,1900300,0.0,1.0
2012-11-28,73.68,74.16,73.039,73.89,2556600,0.0,1.0
2012-11-29,73.99,74.75,73.37,74.47,3011100,0.0,1.0
2012-11-30,67.5,68.2,66.73,67.08,18706500,0.0,1.0
2012-12-03,67.12,67.75,66.64,66.79,6150300,0.0,1.0
2012-12-04,66.64,66.84,65.35,65.89,5880200,0.0,1.0
2012-12-05,66.23,66.47,65.43,65.9,3744600,0.0,1.0
2012-12-06,66.01,68.09,65.53,66.92,4877900,0.0,1.0
2012-12-07,67.2,67.61,66.05,66.3,3918400,0.0,1.0
2012-12-10,66.59,66.86,65.76,66.25,4087800,0.0,1.0
2012-12-11,66.46,67.87,66.28,67.52,4259200,0.0,1.0
2012-12-12,68.19,68.25,67.5,67.64,3600600,0.0,1.0
2012-12-13,68.84,68.9,67.62,67.8,4267700,0.0,1.0
2012-12-14,67.87,68.45,67.761,67.9,3784900,0.0,1.0
2012-12-17,68.11,69.09,67.802,69.07,3675800,0.0,1.0
2012-12-18,69.34,70.35,68.9,69.05,5258200,0.0,1.0
2012-12-19,68.84,68.87,67.15,67.16,7848100,0.0,1.0
2012-12-20,67.13,67.16,65.83,66.49,6049600,0.0,1.0
2012-12-21,65.55,65.6,63.07,63.88,11992700,0.0,1.0
2012-12-24,64.73,65.24,64.41,65.01,2695600,0.0,1.0
2012-12-26,65.01,65.35,64.605,65.04,2899500,0.0,1.0
2012-12-27,65.28,65.8,64.74,65.46,3356000,0.0,1.0
2012-12-28,65.06,65.29,64.7,64.72,2804200,0.0,1.0
2012-12-31,64.72,66.47,64.56,66.4,3338700,0.0,1.0
2013-01-02,67.5,67.5,66.32,67.16,4379100,0.0,1.0
2013-01-03,67.13,68.05,66.94,67.58,2627300,0.0,1.0
2013-01-04,67.44,68.45,66.85,68.32,2719400,0.0,1.0
2013-01-07,67.99,68.29,66.71,67.89,3802600,0.0,1.0
2013-01-08,64.4,65.43,64.4,65.04,12403800,0.0,1.0
2013-01-09,65.06,65.38,64.09,64.82,7451800,0.335,1.0
2013-01-10,65.3,66.52,65.26,66.25,4970500,0.0,1.0
2013-01-11,66.11,66.96,65.54,66.87,3981000,0.0,1.0
2013-01-14,66.95,67.18,66.05,66.15,3482500,0.0,1.0
2013-01-15,66.02,66.54,65.88,66.37,2680500,0.0,1.0
2013-01-16,65.93,66.25,65.86,65.95,3030100,0.0,1.0
2013-01-17,66.19,66.24,65.05,65.4,5682300,0.0,1.0
2013-01-18,65.4,65.48,64.905,65.15,4500300,0.0,1.0
2013-01-22,64.92,65.807,64.65,65.29,4131400,0.0,1.0
2013-01-23,65.4,66.13,65.3,66.1,4811300,0.0,1.0
2013-01-24,66.25,66.81,66.16,66.39,3853200,0.0,1.0
2013-01-25,65.7,65.73,64.0,64.63,8407800,0.0,1.0
2013-01-28,64.51,64.87,63.27,64.59,7591300,0.0,1.0
2013-01-29,64.25,65.03,64.0,64.24,4883100,0.0,1.0
2013-01-30,63.8799,64.57,63.18,64.24,11510900,0.0,1.0
2013-01-31,64.21,65.4,64.02,64.94,5129500,0.0,1.0
2013-02-01,65.22,66.02,64.8,65.93,4690700,0.0,1.0
2013-02-04,65.9,66.01,63.9,63.94,10501700,0.0,1.0
2013-02-05,59.74,62.62,59.68,62.08,29144200,0.0,1.0
