date,open,high,low,close,volume,dividend,split
2012-11-01,64.120003,65.639999,64.059998,65.550003,1448100,0.0,1.0
2012-11-02,65.580002,65.989998,65.0,65.050003,1437700,0.0,1.0
2012-11-05,65.050003,65.800003,64.660004,65.68,971100,0.0,1.0
2012-11-06,65.730003,66.220001,65.459999,66.010002,1000900,0.0,1.0
2012-11-07,65.400002,65.400002,64.260002,64.830002,1589300,0.0,1.0
2012-11-08,64.790001,65.040001,64.349998,64.669998,1353200,0.0,1.0
2012-11-09,64.849998,65.080002,64.339996,64.690002,1082600,0.0,1.0
2012-11-12,64.860001,65.099998,64.440002,64.699997,855600,0.0,1.0
2012-11-13,64.529999,65.309998,64.410004,64.440002,1417100,0.0,1.0
2012-11-14,64.550003,64.849998,64.129997,64.339996,1047900,0.0,1.0
2012-11-15,64.290001,64.419998,63.560001,64.25,1285700,0.0,1.0
2012-11-16,64.209999,66.75,63.799999,64.440002,1044400,0.0,1.0
2012-11-19,64.809998,65.82,64.580002,65.82,1190800,0.0,1.0
2012-11-20,65.510002,66.730003,65.360001,66.300003,1263800,0.0,1.0
2012-11-21,66.25,66.540001,65.809998,66.029999,902000,0.0,1.0
2012-11-23,66.239998,66.870003,66.019997,66.839996,292200,0.0,1.0
2012-11-26,66.629997,66.629997,65.239998,66.150002,1127000,0.0,1.0
2012-11-27,66.059998,67.279999,65.730003,66.019997,1151400,0.0,1.0
2012-11-28,65.769997,66.18,64.980003,66.099998,957300,0.0,1.0
2012-11-29,66.510002,66.669998,65.709999,66.360001,1647000,0.0,1.0
2012-11-30,66.449997,66.470001,65.360001,65.970001,1212300,0.0,1.0
2012-12-03,66.220001,66.309998,65.330002,65.449997,950300,0.0,1.0
2012-12-04,65.529999,66.059998,65.260002,65.839996,1023200,0.0,1.0
2012-12-05,65.839996,66.139999,65.349998,65.629997,1539400,0.0,1.0
2012-12-06,65.519997,65.940002,65.410004,65.709999,863700,0.0,1.0
