date,open,high,low,close,volume,dividend,split
2012-11-01,21.43,21.85,21.31,21.78,2043800,0.0,1.0
2012-11-02,21.9,22.01,21.37,21.42,1423800,0.0,1.0
2012-11-05,21.36,21.54,21.06,21.46,2233600,0.0,1.0
2012-11-06,21.52,21.86,21.51,21.66,2204800,0.0,1.0
2012-11-07,21.37,21.37,20.39,20.41,3804200,0.0,1.0
2012-11-08,20.42,20.675,20.06,20.08,2618900,0.0,1.0
2012-11-09,20.07,20.42,20.0,20.03,2579400,0.0,1.0
2012-11-12,20.15,20.19,19.84,20.02,1654200,0.0,1.0
2012-11-13,19.89,20.08,19.63,19.64,3487800,0.0,1.0
2012-11-14,19.65,19.8,19.25,19.33,2468200,0.0,1.0
2012-11-15,19.28,19.41,19.1,19.25,2122900,0.0,1.0
2012-11-16,19.3,19.59,19.03,19.55,2619600,0.0,1.0
2012-11-19,19.84,19.98,19.622,19.71,2177600,0.0,1.0
2012-11-20,19.64,20.07,19.54,20.03,1829000,0.01,1.0
2012-11-21,20.11,20.19,19.95,20.18,1432400,0.0,1.0
2012-11-23,20.27,20.66,20.22,20.66,772400,0.0,1.0
2012-11-26,20.62,20.77,20.46,20.71,3013300,0.0,1.0
2012-11-27,20.06,20.3,19.86,19.96,5383900,0.0,1.0
2012-11-28,19.78,20.12,19.78,20.04,3011000,0.0,1.0
2012-11-29,20.19,20.35,20.05,20.22,1872300,0.0,1.0
2012-11-30,20.24,20.49,20.01,20.07,2570600,0.0,1.0
2012-12-03,20.14,20.24,19.765,19.79,2375900,0.0,1.0
2012-12-04,19.86,19.99,19.51,19.61,2645800,0.0,1.0
2012-12-05,19.59,19.71,19.305,19.57,2762700,0.0,1.0
2012-12-06,19.56,19.66,19.37,19.54,3479800,0.0,1.0
2012-12-07,19.67,19.88,19.31,19.84,4596000,0.0,1.0
2012-12-10,19.78,20.265,19.67,19.95,3823000,0.0,1.0
2012-12-11,20.24,20.62,20.1604,20.48,4307700,0.0,1.0
2012-12-12,20.58,20.86,20.51,20.6,2248500,0.0,1.0
2012-12-13,20.55,20.74,20.46,20.61,2304800,0.0,1.0
2012-12-14,20.59,20.72,20.55,20.6,2024200,0.0,1.0
2012-12-17,20.72,21.23,20.67,21.2,2453500,0.0,1.0
2012-12-18,21.33,21.61,21.25,21.59,3444900,0.0,1.0
2012-12-19,21.5,21.888,21.5,21.54,2551500,0.0,1.0
2012-12-20,21.59,21.93,21.56,21.92,2243400,0.0,1.0
2012-12-21,21.33,21.6,21.28,21.49,4336300,0.0,1.0
2012-12-24,21.54,21.68,21.01,21.41,603900,0.0,1.0
2012-12-26,21.5,21.67,21.21,21.25,1939800,0.0,1.0
2012-12-27,21.3,21.37,20.94,21.26,2298800,0.0,1.0
2012-12-28,21.06,21.32,20.995,21.13,2024500,0.0,1.0
2012-12-31,21.07,21.43,20.97,21.4,2225400,0.0,1.0
2013-01-02,21.88,21.995,21.78,21.99,2551100,0.0,1.0
2013-01-03,21.99,22.13,21.81,22.02,2267900,0.0,1.0
2013-01-04,22.02,22.79,21.965,22.65,3577700,0.0,1.0
2013-01-07,22.52,22.58,22.26,22.54,2286000,0.0,1.0
2013-01-08,22.5,22.53,22.07,22.09,3758600,0.0,1.0
2013-01-09,22.02,22.16,21.72,21.85,3031000,0.0,1.0
2013-01-10,21.61,21.95,21.59,21.95,2712800,0.0,1.0
2013-01-11,21.89,21.93,21.6,21.75,1766200,0.0,1.0
2013-01-14,21.73,21.86,21.56,21.86,1396800,0.0,1.0
2013-01-15,21.68,22.1,21.62,22.05,1969400,0.0,1.0
2013-01-16,22.02,22.44,21.99,22.31,2413900,0.0,1.0
2013-01-17,22.39,22.61,22.31,22.5,1992200,0.0,1.0
2013-01-18,22.67,22.69,22.14,22.55,1729200,0.0,1.0
2013-01-22,22.48,22.71,22.38,22.7,1455000,0.0,1.0
2013-01-23,22.73,22.74,22.47,22.58,1588100,0.0,1.0
2013-01-24,22.56,22.79,22.55,22.71,1574700,0.0,1.0
2013-01-25,22.74,23.06,22.66,22.98,3090700,0.0,1.0
2013-01-28,22.96,23.02,22.68,22.89,3442300,0.0,1.0
2013-01-29,22.97,23.07,22.62,22.74,3930200,0.0,1.0
2013-01-30,22.79,23.6,22.66,23.54,4806100,0.0,1.0
2013-01-31,22.86,23.49,22.68,23.32,2716500,0.0,1.0
2013-02-01,23.5,24.025,23.5,23.93,2650000,0.0,1.0
2013-02-04,23.76,23.85,23.56,23.62,2283500,0.0,1.0
2013-02-05,23.77,24.07,23.72,24.04,2449500,0.0,1.0
2013-02-06,23.88,24.205,23.83,24.04,2690100,0.0,1.0
2013-02-07,24.02,24.14,23.75,23.96,2162100,0.0,1.0
2013-02-08,24.03,24.21,23.95,24.14,2104500,0.0,1.0
2013-02-11,24.14,24.3,23.99,24.21,1839700,0.0,1.0
2013-02-12,24.28,24.57,24.14,24.49,2603200,0.0,1.0
2013-02-13,24.58,24.92,24.4954,24.74,2911900,0.01,1.0
2013-02-14,24.68,24.785,24.51,24.63,2789500,0.0,1.0
2013-02-15,24.76,24.78,24.25,24.34,2071000,0.0,1.0
2013-02-19,24.44,24.705,24.38,24.69,2067100,0.0,1.0
2013-02-20,24.64,24.67,24.13,24.14,1742800,0.0,1.0
2013-02-21,24.05,24.35,23.56,23.73,2343600,0.0,1.0
